¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
€(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.636765
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.225566
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.357091
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.500106
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.669219
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.850238
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.102768
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.38062
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.63871
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.899512
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.24632
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.613362
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.943644
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.3276
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.741728
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.263284
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.986467
(327.29, 7.04, 327.75) (344.61, 2.04, 311.20) (0.81, 2.16, 0.81) Human 8.808169
(327.29, 7.04, 327.75) (344.61, 2.04, 311.20) (0.81, 2.16, 0.81) Human 8.773197
(327.29, 7.04, 327.75) (344.61, 2.04, 311.20) (0.81, 2.16, 0.81) Human 8.762121
(327.29, 7.04, 327.75) (344.61, 2.04, 311.20) (0.81, 2.16, 0.81) Human 8.75274
(327.29, 7.04, 327.75) (344.61, 2.04, 311.20) (0.81, 2.16, 0.81) Human 8.745115
(327.29, 7.04, 327.75) (344.61, 2.04, 311.20) (0.81, 2.16, 0.81) Human 8.73924
(327.29, 7.04, 327.75) (344.61, 2.04, 311.20) (0.81, 2.16, 0.81) Human 8.735035
(327.29, 7.04, 327.75) (344.61, 2.04, 311.20) (0.81, 2.16, 0.81) Human 8.732533
(327.29, 7.04, 327.75) (344.61, 2.04, 311.20) (0.81, 2.16, 0.81) Human 8.731714
(327.29, 7.04, 327.75) (344.61, 2.04, 311.20) (0.81, 2.16, 0.81) Human 8.732629
(327.29, 7.04, 327.75) (344.61, 2.04, 311.20) (0.81, 2.16, 0.81) Human 8.735244
(327.29, 7.04, 327.75) (344.61, 2.04, 311.20) (0.81, 2.16, 0.81) Human 8.73956
Ú(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.221475
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.352769
(327.29, 7.04, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.493881
