¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‰ (401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 6.552464
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.086428
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.080875
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.076709
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.073925
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.072525
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.072502
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.943495
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.945087
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.22226
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.447923
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.691917
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.95653
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244411
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.55864
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.473224
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.44647
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.42135
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.397834
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.375902
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.355528
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.336694
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.319377
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.303566
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.289238
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.276382
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.264987
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.255039
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.246527
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.239447
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.233789
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.229548
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.226721
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.225303
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.225294
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.870792
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.872379
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.214783
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.43987
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.683213
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.947053
† (401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.234089
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.547349
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.898707
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.612112
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.586449
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.562428
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.540024
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.519214
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.499978
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.482292
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.466145
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.451515
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.438389
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.426755
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.416601
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.407917
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.400696
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.394927
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.390608
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.387733
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.3863
(401.81, 14.10, 245.91) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.386307
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.800963
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.802547
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.207416
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.431931
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.674594
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.937716
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.223904
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.544242
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.905332
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.270012
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.646603
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.867949
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.839729
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.813401
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.788938
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.766315
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.745507
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.726496
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.709261
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.693786
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.680055
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.770675
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.760271
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.751595
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.744641
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.7394
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.735868
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.73404
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.733915
ı(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.735492
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.200165
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.424113
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.666146
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.928535
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.221596
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.550355
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.912111
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.268261
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.645616
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.802481
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.774476
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.74835
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.724074
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.701625
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.680978
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.662116
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.645015
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.62966
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.616039
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.705997
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.695679
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.687074
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.680179
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.674982
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.671482
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.669676
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.669559
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.671132
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.193038
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.416407
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.657813
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.926776
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.227287
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.556622
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.918986
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.266785
(401.81, 14.10, 245.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.644019
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.926504
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.900323
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.876021
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.853572
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.832956
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.814149
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.797132
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.781892
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.768409
(401.81, 14.10, 245.91) (379.48, 7.54, 249.38) (1.36, 1.29, 1.33) Tools 8.756672
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.743608
(401.81, 14.10, 245.91) (379.39, 8.79, 249.38) (1.36, 1.29, 1.33) Tools 8.735332
