¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ô(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.898936
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.210218
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.83595
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.56769
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39945
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.3279
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.34663
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.40697
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.59165
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.78074
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.01203
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.28447
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.6034
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.92917
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.22565
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.52306
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.750274
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.268855
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.835212
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.52959
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.35418
œ(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.27474
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.28422
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.35171
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.53185
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.71041
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.93598
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.20619
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.52204
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.84809
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.13738
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.43601
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.183516
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.7843
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45803
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.77443
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.308
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.22058
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.22103
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.29577
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.47172
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.63994
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.86025
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.1287
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.44204
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.76907
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.05124
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.35166
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.157522
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.754671
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42406
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19444
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01779
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.34519
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.15709
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.23916
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.41088
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.56936
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.78485
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.052
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.36341
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.68929
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.96721
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.26998
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.133899
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.724223
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38915
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15398
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97219
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90168
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.84793
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.30041
Õ(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.34993
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.49869
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.70981
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.9761
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.28614
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.60143
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.88526
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.19095
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.11143
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.692993
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35332
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1125
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9258
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84756
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82607
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89585
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.96929
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.72922
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.66858
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.90098
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.21021
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.51515
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.80537
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.11453
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.085326
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.660933
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3166
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07003
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87854
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79255
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76648
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82639
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89656
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1099
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.27034
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.53249
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.79019
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.03101
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.32106
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.57401
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.056467
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.62816
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27904
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02661
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83055
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73665
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70638
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.75651
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.83282
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0378
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.20379
„(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.46317
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.71144
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.94851
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.24718
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.49487
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.02694
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.594604
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24066
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98224
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78179
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67994
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64592
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68615
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76904
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.96374
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.13753
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.39487
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.63395
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.8678
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.17568
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.42339
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.996742
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.560374
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20144
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93698
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73235
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62246
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59241
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61737
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70512
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.88958
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.0715
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.32757
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.5576
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.79615
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.10651
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.35794
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.965981
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.525436
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1615
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89086
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68225
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56423
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54016
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.5567
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.64114
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81534
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.00578
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.26133
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.48244
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.72966
ı(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.0397
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.29495
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.934586
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.489828
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12082
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84391
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6315
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50592
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48741
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49553
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.57706
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.7411
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.93287
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.19378
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.40848
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.66468
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.9752
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.23432
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.902607
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.453608
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07941
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79618
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58013
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4531
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43424
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4339
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51293
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.6668
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.856
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.11875
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.32509
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.59452
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.91644
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.17501
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.87009
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.416752
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0373
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7477
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52818
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39938
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38062
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3718
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.44876
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.59249
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.77959
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.04487
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.24137
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.52059
(341.47, 7.32, 310.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.84392
