¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.14964
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.17351
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.15426
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.13744
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.12303
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.15398
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.14424
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.13687
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.13188
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.12926
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.12901
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.13111
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.720268
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.943029
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.185094
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.44904
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.737861
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055228
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.405478
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.793911
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.227037
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.712962
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.261783
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.886467
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60369
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4356
»(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.23607
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.20946
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.18533
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.16366
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.14444
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.12763
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.11323
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.15718
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.14744
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.14007
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.13508
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.13246
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.1322
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.13431
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.721434
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.944259
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.186463
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.450498
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.739476
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.057032
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.407448
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.796101
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.229527
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.715741
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.264945
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.890068
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60786
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44039
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4174
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.96568
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.91248
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.86222
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.81483
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.77027
(335.61, 7.15, 321.67) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 12.72849
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.16276
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.15301
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.14564
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.14065
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.13802
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.13776
(335.61, 7.15, 321.67) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 12.13987
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.72261
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.945543
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.187844
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.45202
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.741151
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.058844
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.409464
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.798354
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.23199
®(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.718553
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.268128
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.893691
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61207
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44529
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4232
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58669
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99385
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.72982
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.92454
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.78698
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.35223
(335.61, 7.15, 321.67) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 13.58064
(335.61, 7.15, 321.67) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 13.56969
(335.61, 7.15, 321.67) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 13.56141
(335.61, 7.15, 321.67) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 13.55577
(335.61, 7.15, 321.67) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 13.55279
(335.61, 7.15, 321.67) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 13.55244
(335.61, 7.15, 321.67) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 13.55474
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.723795
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.946852
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.189239
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.45355
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.742864
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.060726
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.411558
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.800673
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.234573
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.721405
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.271396
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.897431
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61639
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45035
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42912
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59382
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00253
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.74064
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.93841
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.80538
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.33996
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.31587
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.29656
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.28201
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.2722
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.26713
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.2668
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.27119
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.725023
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.948188
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.19071
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.455149
´(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.744584
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.062618
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.413615
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.803001
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.237189
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.724386
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.274723
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.901233
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62079
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45546
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43521
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60107
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01142
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.75168
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.9526
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.82421
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.33245
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.30837
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.28906
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.27452
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.26472
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.25965
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.25932
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.26371
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.726262
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.949524
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.192169
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.456758
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.746343
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.064524
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.415782
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.805369
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.239871
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.727378
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.278139
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.905155
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62527
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4607
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44138
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60848
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02043
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.76299
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.96709
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.84344
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.32969
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.30561
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.28631
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.27176
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.26197
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.2569
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.25657
¥(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.26096
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.727544
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.950917
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.193675
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.45838
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.748141
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.066503
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.417974
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.807806
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.24259
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.730443
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.281618
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.909113
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62984
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46607
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44771
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61607
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.0297
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.77451
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.98184
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.86306
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.33168
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.3076
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.28829
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.27375
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.26395
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.25888
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.25854
(335.61, 7.15, 321.67) (303.33, 1.59, 307.99) (1.70, 3.00, 10.49) Fence 24.26294
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.728839
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.952311
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.1952
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.460073
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.749951
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.068525
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.420219
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.810287
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.245378
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.733583
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.285159
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.913167
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63452
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47151
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45413
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62379
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03912
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.78629
(335.61, 7.15, 321.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.99695
