¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ç(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 10.94288
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.556668
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.860732
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.19194
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.554024
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.988938
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.476806
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30459
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0913
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.19714
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.16603
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.13725
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.11078
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.08659
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.06466
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.04497
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.02749
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 13.00263
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 13.00577
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 13.01146
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 13.01968
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.491816
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.686487
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.896668
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.124247
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.371036
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.636155
ä(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.92564
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.243065
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.5742
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.879755
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.212676
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.576683
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.976304
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.460493
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2062
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9468
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.28905
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.25757
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.22846
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.20167
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.17718
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.15497
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.13502
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.1173
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 12.71582
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 12.7188
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 12.72426
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 12.73221
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.497564
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.692699
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.903398
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.131509
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.376757
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.642362
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.932455
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.250541
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.592257
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.89937
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.234044
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.600079
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.002013
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.445275
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08442
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80656
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.38473
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.35288
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.32341
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.29629
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.27149
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.24899
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.22876
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.21079
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 12.77121
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 12.75539
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 12.7421
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 12.73131
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.503445
Ù(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.699028
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.910238
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.138113
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.382609
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.648722
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.939445
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.258179
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.609188
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.91961
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.256075
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.624197
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.028493
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.474508
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.966002
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6704
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.48433
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.45209
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.42225
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.39478
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.36965
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.34684
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.32633
(378.40, 15.16, 277.66) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 11.30809
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 12.89032
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 12.87422
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 12.86067
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 12.84964
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.509414
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.70549
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.917197
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.143655
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.388646
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.65531
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.946631
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.2661
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.617906
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.940423
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.278801
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.649028
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.055809
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.508191
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04441
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53822
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3311
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25562
(378.40, 15.16, 277.66) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 13.1676
(378.40, 15.16, 277.66) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 13.13579
(378.40, 15.16, 277.66) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 13.10669
(378.40, 15.16, 277.66) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 13.08027
(378.40, 15.16, 277.66) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 13.05649
(378.40, 15.16, 277.66) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 13.03533
Ô(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 13.01425
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 12.99785
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 12.98402
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 12.97275
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.515521
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.712042
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.92317
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.149361
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.394845
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.662048
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.953986
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.274194
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.626849
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.961852
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.302173
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.674622
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.083936
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.580854
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12833
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62672
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18256
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08174
(378.40, 15.16, 277.66) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 13.28989
(378.40, 15.16, 277.66) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 13.25765
(378.40, 15.16, 277.66) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 13.22814
(378.40, 15.16, 277.66) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 13.20133
(378.40, 15.16, 277.66) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 13.17719
(378.40, 15.16, 277.66) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 13.1557
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 13.14317
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 13.12645
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 13.11234
(378.40, 15.16, 277.66) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 13.1008
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.521753
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.718759
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.928579
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.15524
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.401196
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.669005
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.961592
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.282524
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.636047
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.983887
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.32619
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.700944
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.114458
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.655143
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21458
(378.40, 15.16, 277.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72192
