°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‘(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61011
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.853954
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.155438
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.458876
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.846068
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.814188
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.291172
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.824799
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42559
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10696
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88612
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78548
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83502
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98733
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55059
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.74008
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.34801
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.90397
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.840994
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.057666
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.292307
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.547185
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.824969
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.128822
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.44787
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.809505
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.771936
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.244135
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.772009
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36601
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0392
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80834
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69531
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7293
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85884
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.33454
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.55992
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.98477
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.58014
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.820387
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.035396
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.268167
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.520936
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.796328
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.097451
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.42801
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.77333
‚(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.729251
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.19772
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.720032
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30736
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97253
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73187
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60682
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62566
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.56868
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1242
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.37879
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.62741
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.25735
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.785339
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.013367
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.244297
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.494988
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.768026
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.066465
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.393946
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.754841
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.683899
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.152003
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.66882
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24965
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90696
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65678
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51995
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.524
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32659
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91936
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20319
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.38625
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.61545
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.55491
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.50563
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.46484
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.43112
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.40355
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.4244
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.744176
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.991581
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.220698
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.469346
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.740066
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.035865
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.360322
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.717725
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.639194
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.106927
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.618411
˘(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19283
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84248
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58301
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43467
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42434
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20111
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.73608
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.00254
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.46282
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.41388
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.38526
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.36115
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.34148
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.32616
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.31514
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.33451
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.54465
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.703517
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.948314
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.197371
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.444006
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.712448
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.005651
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.327134
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.68111
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.59514
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.05818
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.568758
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13696
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77909
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51051
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35099
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32668
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07913
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.42782
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79216
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.4488
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.40733
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.39103
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.3793
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.37204
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.36942
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.37149
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.40119
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.663363
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.904435
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.168199
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.41897
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.685171
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.975822
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.294386
€(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.644995
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.551683
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.00979
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.519918
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08197
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71679
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43931
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26886
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23095
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96056
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.10941
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.5884
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.63337
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.5714
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.58321
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.60892
(370.89, 8.91, 335.94) (370.55, 1.20, 362.26) (0.81, 2.16, 0.81) Human 16.66682
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.62371
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.861135
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.120736
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.394239
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.658232
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.946377
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.262068
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.609374
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.508874
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.962129
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.468349
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0279
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65552
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36935
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18825
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12936
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84523
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80399
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.41808
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.64344
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.87164
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.42083
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.584558
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.818408
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.073937
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.354234
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.631635
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.917314
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.230187
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.57425
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.46664
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.915173
(370.89, 8.91, 335.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.415797
