¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ú(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.20796
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.03595
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.01033
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.44662
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.050619
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.284265
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.537988
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.814451
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.116768
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.448668
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.811198
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.194069
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.618145
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.090363
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.57882
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11377
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60005
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12416
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70519
† (435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 12.08598
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 12.03009
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.97703
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.26592
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.225
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.18637
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.15001
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.11587
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.08392
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.05413
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.02646
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.00088
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.20475
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.054942
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.288923
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.543081
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.820021
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.122857
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.455364
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.822062
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.206654
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.632093
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.100197
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.579826
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11485
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62512
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15186
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73593
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 12.07666
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 12.02084
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.96785
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.25807
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.2172
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.17863
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.14231
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.10822
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.07632
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.04656
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.01893
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.993397
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.41435
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.059301
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.293647
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.548213
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.825588
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.129004
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.46216
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.82954
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.219378
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.646261
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.101393
‘ (435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.581147
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11633
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65112
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.15214
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.09575
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.04208
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.99105
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.20978
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.25227
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.21144
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.1729
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.13662
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.10256
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.07069
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.04097
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.01337
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.987864
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.40185
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.063684
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.298418
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.553393
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.831267
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.135216
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.468963
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.83709
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.23233
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.660631
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.102896
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.582784
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11821
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67795
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.14799
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.09164
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.03799
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.98699
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.20439
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.24851
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.2077
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.16919
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.13294
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.0989
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.06705
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.03735
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.00977
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.984278
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.39176
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.068112
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.30324
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.558634
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.836992
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.141473
‡ (435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.475833
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.844696
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.245436
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.672018
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.104708
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.584845
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1205
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70571
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.14608
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.08975
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.03612
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.98514
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.20059
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.24679
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.20599
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.16749
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.13124
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.09722
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.06538
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.03569
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.00811
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.982635
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.38405
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.072627
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.308091
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.563915
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.842733
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.147782
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.4828
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.852405
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.258741
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.673955
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.106849
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.587225
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12317
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72478
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.14643
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.09009
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.03646
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.98547
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.19839
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.5763
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 11.98303
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 12.42189
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 12.89672
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 13.41201
(435.41, 13.95, 292.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 14.89001
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.89175
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.46594
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.077134
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.312981
¸(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.569242
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.848573
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.154169
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.489805
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.860142
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.270662
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.67618
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.109324
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.589948
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12622
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72822
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28131
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7879
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34467
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95928
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62483
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2416
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89374
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.61167
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.33012
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86972
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.37257
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.90995
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48531
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.081673
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.317928
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.574595
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.854412
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.160571
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.496872
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.86795
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.279352
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.684019
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.117197
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.597843
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13408
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73597
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29127
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79759
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35401
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96814
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64932
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25608
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.90965
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.62916
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.41162
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.88888
(435.41, 13.95, 292.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.39293
