¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¸(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93794
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.15371
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77007
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05749
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36007
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.67892
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.97565
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23117
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.49863
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.88247
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.400228
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.684126
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.995808
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.339476
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.720239
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.135489
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.594629
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.110578
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.694406
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.36689
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.16742
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.10451
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81099
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18117
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48946
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.81437
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09007
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.34975
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70479
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.22515
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.387137
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.669778
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.980017
›(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.322021
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.700843
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.112953
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.569386
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.082114
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.662018
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33097
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.12563
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.05527
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.94267
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30906
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62327
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95461
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.20873
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.53547
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.04182
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.373987
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.655369
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.964162
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.304496
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.681378
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.090409
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.544142
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.053658
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.629656
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.29499
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08378
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.00602
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.87673
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34353
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76174
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07527
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37398
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.86704
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.49315
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.360782
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.640901
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.948247
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.286911
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.661851
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.067863
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.518898
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.025216
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.597325
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.25896
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04191
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.95677
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.81194
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.63787
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.90502
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.21966
ˆ(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70023
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21541
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.88099
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.347528
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.626383
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.932281
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.26927
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.642265
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.045318
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.49367
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.996798
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.565039
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2229
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.00002
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.90752
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.74829
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.56559
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.92789
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.54086
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.04292
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.35835
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.334224
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.611815
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.916261
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.251579
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.622631
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.022779
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.468455
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.96841
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.532799
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18681
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95812
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.85829
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.68577
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.49464
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.4167
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87802
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.40318
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.63791
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.320875
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.5972
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.900196
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.233839
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.602825
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.000254
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.443265
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.940031
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.500615
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15071
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91622
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.80911
„(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.62436
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.42501
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.33707
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.23228
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.71412
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.92773
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.307488
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.582545
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.884089
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.21606
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.582579
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.977747
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.418103
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.911683
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.468494
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1146
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.87435
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.75998
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.56406
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.35666
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.30879
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60493
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.95513
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.22831
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.294062
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.567852
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.867944
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.198242
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.562347
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.955263
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.392973
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.883384
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.436445
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.0785
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8325
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71091
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.50485
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.28961
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.28146
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.97037
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.20438
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.54019
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.280603
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.553126
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.851767
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.18039
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.542135
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.932806
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.367884
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.855142
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.404472
ÿ(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04241
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.79069
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.66192
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.44671
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.22381
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.25394
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.04239
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48268
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.85582
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.267113
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.538367
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.835557
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.162512
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.521945
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.910383
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.34284
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.826962
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.372584
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00634
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.74893
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.61302
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.38966
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.15926
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.21298
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.0206
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.77295
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.17629
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.253596
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.523583
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.819323
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.14461
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.501783
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.887996
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.317846
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.79885
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.340785
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.970302
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70723
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.56423
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.33365
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.09595
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.17265
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.00488
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.07382
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.50903
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.240057
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.508778
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.803069
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.126688
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.481655
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.865654
ø(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.292909
(330.27, 7.30, 364.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.770815
