¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.105364
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.49071
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.85538
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.84162
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.83195
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.82634
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.82479
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.8273
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.8393
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.59172
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.835122
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.098567
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.140147
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.103721
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.069037
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.036054
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.004738
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.975053
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.946965
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.920448
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.895472
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.872009
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.850039
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.829533
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.810475
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.262348
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 8.090743
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.66979
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.48346
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.26383
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.73622
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.72254
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.71291
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.70733
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.70579
û(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.70828
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.72021
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.589981
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.833186
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.09651
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.287297
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.250001
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.214487
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.180711
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.148637
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.118231
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.089458
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.062286
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.03669
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.012641
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.990113
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.969084
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.949533
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.283987
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 8.117656
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28144
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.26603
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04543
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.70298
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.6088
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.59922
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.59367
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.59213
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.59461
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.60647
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.588287
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.831397
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.094533
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.380256
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.403934
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.367538
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.332922
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.300046
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.268875
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.239374
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.211512
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.185259
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.160587
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.13747
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.115885
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.095809
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.305858
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 8.144872
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94304
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.88837
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.83506
õ(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.47601
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.50027
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.49075
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.48522
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.48369
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.48615
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.49794
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.586704
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.829671
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.092659
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.378256
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.566072
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.528746
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.49324
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.459514
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.427533
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.397261
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.368664
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.341713
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.316381
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.292639
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.270463
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.249831
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.327955
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 8.172393
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87266
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24467
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64969
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25759
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.93517
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.38736
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.38186
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.38033
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.38278
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.39452
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.585182
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.828024
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.0909
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.376318
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.687238
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.698723
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.662271
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.627643
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.594801
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.563708
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.534332
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.506642
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.480607
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.4562
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.433397
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.412174
è(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.392508
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55544
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80547
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.06726
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.85264
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.07409
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.70802
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.28895
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.28347
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.28195
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.28439
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.29606
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.583765
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.826489
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.089238
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.374501
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.685266
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.87815
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.840695
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.805109
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.771353
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.739387
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.709182
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.680703
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.653921
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.628807
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.605335
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.583479
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.563221
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49357
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74136
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00077
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.27252
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90595
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.52693
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.1989
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.18995
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.18843
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.19085
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.20247
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.582426
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.825036
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.087663
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.372831
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.683421
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.040527
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 8.029254
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.992647
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.957914
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.925023
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.893934
Ô(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.864615
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.837037
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.811166
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.786981
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.764453
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.743561
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4346
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68032
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93745
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.20682
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82478
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.35267
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.01101
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.10118
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.09967
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.10208
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.11364
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.577254
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.823539
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.086219
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.371236
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.681672
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.030795
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.413729
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.763394
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.145222
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.579782
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10986
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57853
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07412
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70747
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33033
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.955878
(424.20, 14.87, 247.14) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.934307
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.37851
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62219
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87725
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14434
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.42426
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.18482
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.83015
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.01707
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.01557
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.01796
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.02948
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.571793
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.817624
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.084052
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.369752
(424.20, 14.87, 247.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.680065
