¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ò(435.76, 14.70, 316.41) (437.52, 7.29, 336.56) (0.81, 2.16, 0.81) Human 5.998787
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.590081
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12143
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71729
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45467
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3219
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23661
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.23754
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.75236
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.635197
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.030956
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.488826
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0082
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58991
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30764
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.204
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10017
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.16177
µ(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.62291
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.10986
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.566043
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.95499
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.389324
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.89705
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46502
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16325
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04629
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96568
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.81901
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.26329
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.73207
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.497811
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.880065
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.300272
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.78798
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34258
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02153
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88081
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83314
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.48991
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.9183
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.36997
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.43046
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.806236
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.218894
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.680884
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22259
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88245
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71871
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69686
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.24634
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.58714
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.02271
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.364065
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.733419
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.13877
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.58555
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10497
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74594
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55997
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51006
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.18737
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.41139
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.6895
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.13261
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.298537
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.661667
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.059841
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.498346
¹(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.989662
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61197
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40446
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35776
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.13158
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.35408
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.58569
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.82678
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.233889
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.590914
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.982138
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.412573
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.888381
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48049
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27473
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21078
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.99459
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.16739
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.3471
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.53408
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.170164
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.521199
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.905569
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.328173
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.794873
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36806
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15175
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06615
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.67043
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.83627
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.00878
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.18828
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.37502
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.107287
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.452513
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.830196
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.245141
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.720375
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2809
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03048
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92376
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.35999
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.51929
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.68505
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.85752
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.03696
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.22361
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.0453
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.384801
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.756829
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.181573
¶(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.651616
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20617
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91091
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7837
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.06528
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.21563
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.37508
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.54096
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.71353
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.89311
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.98417
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.320697
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.701306
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.120311
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.583629
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.132
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80055
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64584
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.88423
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.99837
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.11754
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.24189
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.40392
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.57675
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.7566
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.927748
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.270672
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.646381
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.059658
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.516407
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05843
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71664
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51024
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.70967
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.82103
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.93732
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.05867
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.18523
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.3172
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.4547
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.62746
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.882431
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.221127
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.591974
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.999678
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.449969
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.985456
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63351
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37689
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78889
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.65003
¸(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.7636
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.88206
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.00569
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.13597
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29755
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.46571
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.837556
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.172066
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.538136
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.940398
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.384325
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.91306
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55116
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27944
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92359
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51748
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.65453
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.79722
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.94576
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.10039
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.26126
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.795145
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.123497
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.484889
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.881752
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.319468
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.841285
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46962
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18592
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15587
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48748
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.62395
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.76607
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.91401
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.06798
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.2282
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.754133
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.075996
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.43218
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.823758
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.255363
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.770184
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38885
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09026
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8393
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71017
(435.76, 14.70, 316.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.59636
