¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ƒ!(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.840712
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.76462
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.10263
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.237
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.381352
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.536803
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.704642
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.886364
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.083722
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.306985
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.544338
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.804225
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.090922
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.408727
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.762912
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.160014
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.565094
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.946922
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.429938
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.992845
î (383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53642
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 10.05418
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.88396
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.826266
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.805925
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.788587
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.773772
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.761463
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.751617
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.744234
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.117476
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.252915
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.398455
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.555227
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.724544
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.907926
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.107156
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.333896
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.57301
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.83576
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.125764
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.447423
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.806135
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.208599
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.61076
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.999127
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.488817
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.0566
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63179
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57734
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.966391
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.89232
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.864891
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.840732
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.81954
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.801147
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.785526
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.772625
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.132554
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.269084
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.415833
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.573955
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.74478
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.929858
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.131002
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.360543
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.602209
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.86789
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.161286
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.4869
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.850259
ğ (383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.258238
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.657683
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.052674
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.549258
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.906195
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72988
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69731
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86791
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 10.0958
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 10.034
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.987483
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.949047
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.916566
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.889006
(383.04, 10.98, 322.17) (358.18, 3.66, 326.64) (0.81, 2.16, 0.81) Human 9.865634
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.147864
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.285505
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.433491
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.592988
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.765354
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.952163
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.162156
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.387666
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.631942
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.900627
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.197501
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.527171
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.895304
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.308953
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.705891
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.107594
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.611302
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00167
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83067
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8145
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0319
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55799
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.75373
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.163406
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.302182
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.451425
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.612327
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.786266
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.974844
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.189928
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.415266
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.662216
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.933976
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.234415
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.568247
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.941284
ô (383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.360765
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.755414
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.163916
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.674987
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09972
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9343
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92675
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19425
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7805
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.74438
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.179182
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.319113
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.469642
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.631976
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.80752
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.997906
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.215623
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.443353
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.693036
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.967946
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.272039
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.610143
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.988215
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.413694
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.80628
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.22167
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.740351
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20039
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04087
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06444
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34854
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01777
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.7396
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.195192
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.336302
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.488139
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.651936
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.829118
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.026329
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.241755
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.471927
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.724409
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.002546
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.310383
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.652871
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.036117
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.467762
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.858519
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.280891
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.807435
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2972
û (383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 10.03515
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 9.944644
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 9.932719
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 9.932964
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 9.937332
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 9.946467
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 9.961339
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 9.983763
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 10.01816
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 10.08626
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.211438
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.353748
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.50692
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.672208
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.851063
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.055481
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.268324
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.500996
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.756341
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.037781
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.349459
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.696442
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.085003
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.522988
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.91216
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.341612
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.876284
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 10.11476
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 9.915873
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 9.854532
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 9.839583
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 9.829588
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 9.822332
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 9.817859
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 9.816249
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 9.817508
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 9.821795
(383.04, 10.98, 322.17) (358.81, 3.52, 327.73) (0.81, 2.16, 0.81) Human 9.829225
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.227921
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.371454
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.525988
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.692796
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.873357
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.080255
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.295338
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.530564
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.788841
(383.04, 10.98, 322.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.073665
