¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ï(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.308857
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78688
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.87916
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.78284
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.78193
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.3645
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.14679
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.075768
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.310952
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.571241
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.855291
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.157859
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.488725
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.853267
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.254848
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.693402
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.130011
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.62597
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18651
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.859482
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.836717
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.815964
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.797204
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.61693
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15789
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.60329
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.93098
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.87783
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.93415
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.84311
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.84788
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.44017
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.02706
Ó(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.86013
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.080387
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.31566
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.573538
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.857837
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.161458
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.492677
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.857466
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.252178
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.69043
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.133554
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.605093
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.646134
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.621893
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.599639
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.579354
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.602819
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.62654
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.89718
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.68935
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.01677
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.97257
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.07666
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.9074
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.91826
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.53193
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.10019
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.73822
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.084997
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.320698
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.576689
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.860341
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.165131
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.496723
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.855109
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.249594
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.687555
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.137503
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.592279
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.420977
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.397269
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.375504
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.355659
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.610723
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.63624
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.90935
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.778
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.1055
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12534
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.22152
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.00755
Ô(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.99315
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.629
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.20199
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.80842
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.089682
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.325758
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.582196
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.862939
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.168862
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.496039
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.852911
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.247132
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.684795
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.141785
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.597045
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.207841
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.184641
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.163338
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.143913
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.618691
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.64602
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.92164
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.86934
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.28676
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.28345
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.37194
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.16949
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.07263
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.73135
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.29613
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.86545
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.094414
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.330895
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.587769
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.8678
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.169792
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.494104
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.850765
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.244783
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.682167
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.14653
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.030451
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.005851
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.98313
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.962266
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.943241
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.62673
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.65588
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.93403
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.99752
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.48332
Ö(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.44695
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.52812
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.33773
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.21531
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.79649
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.3376
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.90893
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.099144
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.33605
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.59338
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.873332
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.16908
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.49228
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.848761
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.24255
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.679704
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.151643
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.838313
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.814209
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.791948
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.771505
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.78715
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.634834
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.66583
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.94653
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.25135
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.6867
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.64439
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.69025
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.52071
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.01112
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.01019
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.01375
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.02179
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.03433
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.103953
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.341228
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.599024
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.876897
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.174891
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.490539
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.846855
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.240416
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.677342
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.681286
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.655828
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.6322
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.610374
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.590328
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.793932
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.643006
à(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.67587
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.95914
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.51393
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.89719
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.87621
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.87471
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.23744
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.23201
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.23092
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.23417
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.24175
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.25368
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.108792
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.346456
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.602548
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.88053
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.180869
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.494431
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.845024
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.238432
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.675131
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.507314
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.482345
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.459167
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.437755
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.41809
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 8.800766
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 9.651239
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 10.68598
(434.90, 14.07, 303.81) (431.36, 7.25, 278.75) (3.69, 0.51, 6.43) Tools 11.97185
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.78561
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.11505
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.13634
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.52302
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.5134
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.50798
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.50676
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.50973
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.51689
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.52826
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.113667
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.350446
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.605917
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.884212
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.186957
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.501115
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.845591
(434.90, 14.07, 303.81) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.236525
