¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
’(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.47621
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80582
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62077
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5595
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62105
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.80783
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91154
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.71725
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.53663
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.49936
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.46602
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.43658
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.411
(378.97, 15.97, 287.80) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 20.78073
(378.97, 15.97, 287.80) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 20.76153
(378.97, 15.97, 287.80) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 20.74641
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.99183
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.213764
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.454454
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.717987
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.999554
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.307243
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.645668
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.014885
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.422072
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.871362
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.345087
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45473
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08462
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79776
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.61156
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5488
š(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61143
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.78279
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.89821
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.26382
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.56376
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.52641
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.49299
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.46348
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.43784
(378.97, 15.97, 287.80) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 20.80944
(378.97, 15.97, 287.80) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 20.79018
(378.97, 15.97, 287.80) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 20.775
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.987578
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.209167
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.449094
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.71253
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.993607
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.300734
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.638019
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.007138
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.41349
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.864602
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.889138
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44881
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07799
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79021
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60293
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53882
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.60282
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75887
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.8868
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.0948
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.5948
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.55736
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.52386
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.49426
(378.97, 15.97, 287.80) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 19.46855
(378.97, 15.97, 287.80) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 20.89786
(378.97, 15.97, 287.80) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 20.87863
(378.97, 15.97, 287.80) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 20.86349
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.983405
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.204658
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.444206
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.707191
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.987785
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.294364
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.630637
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.999574
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.405109
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.855775
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.884197
ª(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44333
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07178
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78314
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59484
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52947
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59522
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.73682
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.87729
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.96356
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.70996
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.67226
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.63853
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.60873
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.58283
(378.97, 15.97, 287.80) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 20.88316
(378.97, 15.97, 287.80) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 20.86395
(378.97, 15.97, 287.80) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 20.84885
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.979314
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.200236
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.439414
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.701966
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.982089
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.288132
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.62379
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.992191
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.396931
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.379545
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.879637
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4382
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.066
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7766
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58734
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52081
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58852
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72904
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86969
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.94761
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.7491
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.71128
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.67744
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.64754
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.62155
(378.97, 15.97, 287.80) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 20.87254
(378.97, 15.97, 287.80) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 20.85336
(378.97, 15.97, 287.80) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 20.83827
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.975304
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.195903
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.434717
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.696301
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.976518
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.282039
²(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.617096
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.98499
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.388953
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.370896
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.875407
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43346
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06066
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77052
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58041
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5128
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58284
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72242
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.86842
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.00493
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.79228
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.75434
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.72038
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.69036
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.66428
(378.97, 15.97, 287.80) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 20.86601
(378.97, 15.97, 287.80) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 20.84684
(378.97, 15.97, 287.80) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 20.83176
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.971375
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.191658
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.430118
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.690523
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.971077
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.276085
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.610558
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.977971
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.899705
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.362054
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.871511
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42913
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05577
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76499
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57403
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50546
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.5781
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67027
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.94505
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.09235
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.58949
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.80146
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.76737
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.73725
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.71104
(378.97, 15.97, 287.80) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 20.86354
(378.97, 15.97, 287.80) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 20.84437
(378.97, 15.97, 287.80) (376.55, 8.79, 250.54) (1.53, 1.29, 1.51) Tools 20.8293
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.96753
Ÿ(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.187502
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.425614
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.684833
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.965762
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.27027
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.604172
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.971136
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.892003
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.353489
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.867527
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42518
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05131
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75995
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56826
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49875
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53676
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.49822
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.02417
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.1827
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.16747
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.85271
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.81848
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.78822
(378.97, 15.97, 287.80) (376.55, 7.54, 251.79) (1.36, 1.29, 1.33) Tools 19.7619
(378.97, 15.97, 287.80) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 21.46368
(378.97, 15.97, 287.80) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 21.45436
(378.97, 15.97, 287.80) (375.04, 8.79, 250.41) (1.40, 1.29, 1.37) Tools 21.44922
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.963765
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.183434
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.421209
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.67935
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.960574
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.264596
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.597939
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.964481
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.884558
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.345203
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.858268
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42163
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04732
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75539
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56307
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46757
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4641
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.33121
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.42828
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.27605
(378.97, 15.97, 287.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.25597
(378.97, 15.97, 287.80) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 21.30686
(378.97, 15.97, 287.80) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 21.27007
(378.97, 15.97, 287.80) (375.15, 7.54, 250.41) (1.36, 1.29, 1.33) Tools 21.23752
