¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
÷(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.63704
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38947
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47357
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83197
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.78092
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.9334
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.750435
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.190728
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.685856
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.246614
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.886839
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46597
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5674
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95558
 (343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.98508
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.2672
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.80293
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.249677
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.752494
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.322517
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.974042
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.72572
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66058
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07804
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2154
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.60434
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.855586
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.308853
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.819454
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.39887
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.06187
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.82778
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75303
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19919
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.42718
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.94446
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.908382
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.368237
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.886709
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.475643
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.15029
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.90677
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.8623
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32149
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.63761
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.36854
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.961299
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.427808
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.952812
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.530164
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.18924
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.94854
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93528
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.46005
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84622
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.89417
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.010876
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.46692
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.979877
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.560978
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.22462
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.98957
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.00705
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59732
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.0527
ò(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.42996
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.031773
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.490383
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.0064
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.591188
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.25933
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.02984
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.07754
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.48689
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25664
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.97521
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.052214
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.513342
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.032362
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.620772
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.29333
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.06932
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.14666
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.5807
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.47474
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.52906
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.072188
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.535786
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.057751
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.649712
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.32661
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.10797
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.21434
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.67285
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.716
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.09777
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.091686
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.557698
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.082548
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.677989
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.35914
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.14578
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.2805
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.78656
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.98984
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.7829
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.110695
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.579068
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.106737
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.705585
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.39091
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.1827
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.35063
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.90017
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.1492
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.4782
Ë(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.129201
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.599879
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.130304
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.732481
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.42187
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.22829
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.42137
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.01175
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.34376
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.147197
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.620124
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.153234
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.758658
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.45202
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.27817
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.48898
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.12113
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.53892
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.16467
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.639785
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.175511
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.784098
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.48134
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.32653
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.55379
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.22816
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.73085
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.9522
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.18161
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.658851
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.197122
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.808786
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.5098
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37331
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.61666
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.33266
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.91911
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.44483
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.198007
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.677308
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.218048
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.832701
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.53738
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.41846
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.67751
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.43446
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.0828
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.9711
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.213849
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.695149
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.238278
»(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.855828
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.56406
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46193
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.73626
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.53049
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.25617
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.55939
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.22913
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.712358
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.257801
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.878151
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.58983
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.50367
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.79282
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.62286
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.44387
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.08926
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.243834
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.728926
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.2766
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.899654
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.61465
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.54363
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.84713
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.7121
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.62541
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.6303
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.257957
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.744842
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.294661
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.92032
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.63852
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.58175
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.8991
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.8008
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.79748
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.271487
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.760092
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.311975
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.940135
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.6614
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.618
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.9534
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.88922
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.92549
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.284419
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.77467
(343.08, 7.81, 311.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.328526
