¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.871139
(415.27, 14.33, 246.98) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 16.96534
(415.27, 14.33, 246.98) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 19.45459
(415.27, 14.33, 246.98) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 19.04212
(415.27, 14.33, 246.98) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 19.02643
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.851558
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.063419
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.292497
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.540885
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.811049
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.105924
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.42515
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.784596
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.991847
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.960464
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.930867
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.903024
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.876906
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.852488
ï(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.884718
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.863473
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.843866
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.825879
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.162442
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.146973
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.620465
(415.27, 14.33, 246.98) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 17.1076
(415.27, 14.33, 246.98) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 20.23016
(415.27, 14.33, 246.98) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 19.37559
(415.27, 14.33, 246.98) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 19.35944
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.849576
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.061269
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.290151
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.538344
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.808273
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.1029
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.418767
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.777552
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.174449
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.953364
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.923799
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.895985
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.869895
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.006454
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.87771
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.856488
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.836903
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 7.818936
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.155205
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.139753
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.769648
(415.27, 14.33, 246.98) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.74473
(415.27, 14.33, 246.98) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 21.07443
(415.27, 14.33, 246.98) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 19.8137
(415.27, 14.33, 246.98) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 19.70822
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.847658
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.0592
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.287918
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.535925
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.805635
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.099336
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.412508
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.77061
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.166799
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.607307
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.091423
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.638139
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25693
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.251939
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.228043
İ(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.20588
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.185428
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.166666
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.149573
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.134137
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.904918
(415.27, 14.33, 246.98) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.79815
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.29928
(415.27, 14.33, 246.98) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 20.19789
(415.27, 14.33, 246.98) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 20.07379
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.845827
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.057257
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.285792
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.533625
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.803125
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.095833
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.407994
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.763913
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.159329
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.598978
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.086857
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.632991
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25107
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95621
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.223966
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.201816
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.181378
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.162626
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.145545
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.130119
(415.27, 14.33, 246.98) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 9.045174
(415.27, 14.33, 246.98) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.87914
(415.27, 14.33, 246.98) (393.28, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 20.17154
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.96284
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.844102
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.055404
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.283791
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.53143
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.80075
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.092503
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.404341
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.75734
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.152072
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.590868
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.079408
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.628084
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24554
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94987
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60046
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36237
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26102
Ï(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20668
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39321
(415.27, 14.33, 246.98) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.66398
(415.27, 14.33, 246.98) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.5515
(415.27, 14.33, 246.98) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.52685
(415.27, 14.33, 246.98) (393.28, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 21.05717
(415.27, 14.33, 246.98) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 19.49228
(415.27, 14.33, 246.98) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 19.02381
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.842484
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.053636
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.281888
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.52936
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.798498
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.089369
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.4009
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.750949
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.144988
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.582984
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.063147
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.623464
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24031
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93906
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58608
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33267
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22432
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16456
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.34681
(415.27, 14.33, 246.98) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.76057
(415.27, 14.33, 246.98) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.64267
(415.27, 14.33, 246.98) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.61783
(415.27, 14.33, 246.98) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 18.05868
(415.27, 14.33, 246.98) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 17.47295
(415.27, 14.33, 246.98) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 17.45544
(415.27, 14.33, 246.98) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 19.87375
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.840947
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.05197
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.280108
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.527409
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.796389
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.086378
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.39766
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.744713
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.138081
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.575299
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.052791
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.602885
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23534
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92702
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5725
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3038
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18888
ı(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12381
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30162
(415.27, 14.33, 246.98) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.86171
(415.27, 14.33, 246.98) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.73814
(415.27, 14.33, 246.98) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.7131
(415.27, 14.33, 246.98) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 16.69333
(415.27, 14.33, 246.98) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 16.66282
(415.27, 14.33, 246.98) (394.08, 7.90, 265.47) (2.11, 0.84, 3.83) Tools 18.20705
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.839521
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.050422
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.278404
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.525587
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.794387
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.083569
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.394587
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.738645
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 7.00404
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.952235
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.926414
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.902101
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.879328
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.85802
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.838179
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.819787
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.802804
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.787249
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.773046
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.760239
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.748798
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.738695
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.729945
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.722708
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.739876
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.813181
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.838154
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.048982
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.276851
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.523889
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.792547
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.080981
(415.27, 14.33, 246.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.39174
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.970565
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.890195
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.855342
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.829911
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.805995
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.783569
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.762599
(415.27, 14.33, 246.98) (397.63, 7.96, 254.34) (0.81, 2.16, 0.81) Human 6.743073
