¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ğ(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.595
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.123432
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.727857
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32617
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86701
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.58427
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.51314
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.1735
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.1037
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.99056
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.74559
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.943264
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.17617
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.429381
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.705606
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.008008
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.340359
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.70738
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.119575
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.59159
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.12376
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.728232
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32508
ó(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86581
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.61794
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.53713
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.2507
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.17529
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.10282
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.81867
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.943376
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.176293
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.429514
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.705751
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.008149
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.340515
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.707553
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.119821
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.591866
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.124072
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.728588
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32456
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86523
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.65176
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.56201
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.32736
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.24635
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.21367
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.89024
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.943508
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.176436
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.429671
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.705922
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.00832
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.340701
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.70776
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.120053
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.592128
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.124368
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.728925
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32462
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8653
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.68573
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.59501
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.38707
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.31686
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.26289
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.96022
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.94366
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.176602
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.42985
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.706119
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.008518
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.34092
ê(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.708004
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.120273
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.592376
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.124647
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.729245
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32525
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86599
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71985
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.65182
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.42549
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.38678
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.31298
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.943833
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.176788
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.430055
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.70634
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.008746
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.34117
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.708281
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.120481
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.592608
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.12491
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.729545
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32645
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86733
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.75412
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.70895
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.46378
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.42988
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.36232
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.944024
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.176997
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.430282
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.706589
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.009002
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.341455
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.708594
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.120674
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.592826
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.12516
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.729829
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32822
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8693
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.78852
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.76637
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.50194
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.4696
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.41058
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.2548
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.944237
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.177226
é(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.430532
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.706862
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.009288
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.341769
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.708942
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.120857
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.593031
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.12539
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.73009
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33057
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.89295
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.82304
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.82409
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.53993
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.50896
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.45771
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.3354
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.944467
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.177478
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.430805
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.707151
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.0096
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.342113
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.709324
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.121025
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.59322
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.125603
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.730334
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33349
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.92228
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.85769
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.88208
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.57776
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.54793
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.50208
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.40804
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.944719
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.177752
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.431102
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.707463
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.009943
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.342491
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.70974
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.121181
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.593396
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.125802
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.730559
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33699
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9517
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.89246
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.94035
è(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.61649
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.60782
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.54409
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.48163
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.944798
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.178045
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.431423
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.707801
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.010315
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.3429
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.710193
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.121325
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.593556
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.125985
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.730769
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34106
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9812
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.92733
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.99887
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.65674
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.66756
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.58496
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.55459
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.944865
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.178361
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.431767
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.708165
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.010714
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.343338
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.71068
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.121454
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.593704
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.12615
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.730958
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.3457
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.01077
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.96231
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.05765
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.69665
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.7203
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.61306
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.62574
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.944924
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.178697
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.432133
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.708556
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.01114
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.34381
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.711202
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.121572
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.593833
ë(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.126299
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.731127
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.35093
(332.70, 7.46, 363.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0404
