¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ï(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.04609
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.0089
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.41568
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.931726
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.167827
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.424807
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.705495
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.013259
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.352136
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.727009
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.143834
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.609969
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.134593
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.72932
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40905
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18137
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.05759
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.18783
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.39901
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.84645
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.99006
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.02217
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.45534
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.931258
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.167319
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.424253
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.704889
é(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.012593
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.351401
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.726194
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.142926
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.608951
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.133443
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.72801
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40755
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18138
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.06338
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.1854
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.39633
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.87611
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.97525
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.03686
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.4954
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.930796
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.166816
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.423705
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.70429
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.011935
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.350675
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.725388
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.142028
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.607944
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.132306
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.726717
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40606
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18143
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.0692
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.183
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.40939
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.90597
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.96162
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.07299
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.52492
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.930338
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.16632
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.423163
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.703697
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.011284
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.349956
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.724592
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.141139
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.606947
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.131183
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.725437
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40459
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18149
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.07505
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.18062
ï(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.42251
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.93603
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.94917
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.14592
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.5315
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.929885
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.165828
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.422628
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.70311
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.010641
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.349246
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.723803
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.140262
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.605962
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.130068
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.724171
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40314
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18156
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.08093
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.17827
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.43571
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.96628
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.94278
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.21963
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.53956
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.929438
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.165343
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.422097
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.702532
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.010004
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.348542
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.723025
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.139393
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.604988
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.128969
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.722919
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40171
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18166
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.08683
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.17595
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.44898
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.04497
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.96286
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.29413
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.55702
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.928997
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.164862
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.421575
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.701958
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.009375
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.347849
’(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.722255
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.138535
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.604026
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.127881
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.721683
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40029
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18177
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.09276
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.17366
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.46231
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.04155
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.98307
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.36941
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.62141
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.92856
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.164387
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.421057
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.701392
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.008752
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.347163
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.721494
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.137687
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.603075
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.126808
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.720461
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.39888
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93618
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91024
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06041
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43888
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12072
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.03366
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.44634
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.68643
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.928129
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.163919
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.420547
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.700834
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.00814
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.346486
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.720743
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.13685
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.602137
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.125749
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37527
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09929
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93446
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90824
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05802
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43597
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11716
±(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.21348
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.61906
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.75209
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.927704
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.163457
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.420043
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.700283
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.007534
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.345819
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.720003
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.136024
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.60121
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.740591
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37401
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09784
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93278
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90625
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05568
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43316
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11364
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.20902
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.894
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.81838
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.927284
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.163001
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.419545
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.699739
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.006936
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.345157
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.719271
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.135207
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.18079
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.739491
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37275
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09641
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93108
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90432
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05334
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43035
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11018
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.20465
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.88829
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.8021
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.926869
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.162551
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.419055
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.699202
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.006347
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.344508
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.718549
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.683442
Ü(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.179823
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.738388
(367.71, 7.18, 350.49) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37151
