¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
›(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 23.1142
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.742255
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.038734
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.363991
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.72232
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.118996
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.560369
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.008921
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.405179
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.817439
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26963
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76767
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31877
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07052
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68552
¢(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01048
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.13315
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.86596
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.55584
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.53532
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.51922
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 23.72307
(338.53, 7.61, 336.09) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 24.05277
(338.53, 7.61, 336.09) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 24.04124
(338.53, 7.61, 336.09) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 24.03439
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.782772
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.995124
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.224908
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.474304
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.745904
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.042697
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.368331
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.727131
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.124331
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.566313
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.995532
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.415468
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.82869
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28199
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78127
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35161
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0479
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56029
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.03452
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.16359
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.90578
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.47708
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.44851
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.42438
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 23.8247
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 24.10093
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 24.09986
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 24.10348
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.785491
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.99802
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.228059
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.477734
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.749635
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.046798
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.372835
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.732116
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.129839
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.572474
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.982615
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.426535
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.840781
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29521
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79585
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38609
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08679
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43717
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.05931
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.19504
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.94694
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.84185
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.8126
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 22.78785
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 23.6673
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 23.66169
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 23.66069
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 23.66431
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.788261
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.00103
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.231293
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.481255
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.753497
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.051024
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.377487
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.737215
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.135514
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.565913
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.970227
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.416553
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.853659
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30932
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81144
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42166
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12699
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31606
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.08495
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.22752
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.98946
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 23.22326
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 23.19328
(338.53, 7.61, 336.09) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 23.1679
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 23.3744
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 23.35977
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 23.34971
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 23.3442
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.791109
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.004084
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.234651
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.48491
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.75748
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055351
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.382268
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.74249
¡(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.141347
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.555083
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.958339
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.403407
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.867352
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32438
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82861
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45841
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16844
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19704
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11137
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.26105
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.03333
(338.53, 7.61, 336.09) (315.74, 0.43, 305.00) (1.44, 1.43, 1.40) Tools 23.6097
(338.53, 7.61, 336.09) (315.74, 0.43, 305.00) (1.44, 1.43, 1.40) Tools 23.57849
(338.53, 7.61, 336.09) (315.74, 0.43, 305.00) (1.44, 1.43, 1.40) Tools 23.55195
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 23.63856
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 23.62362
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 23.61331
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 23.60761
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.794059
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.007313
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.238075
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.488637
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.76153
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.059851
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.387172
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.747927
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.147396
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.54473
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.946942
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.390819
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.881888
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34031
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86237
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49625
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21126
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08004
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1386
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.29558
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.07859
(338.53, 7.61, 336.09) (315.74, 0.43, 305.00) (1.44, 1.43, 1.40) Tools 24.06334
(338.53, 7.61, 336.09) (315.74, 0.43, 305.00) (1.44, 1.43, 1.40) Tools 24.03124
(338.53, 7.61, 336.09) (315.74, 0.43, 305.00) (1.44, 1.43, 1.40) Tools 24.00389
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 23.91349
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 23.89823
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 23.88765
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 23.88173
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.797057
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.01054
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.241622
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.492476
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.765703
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.064427
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.392185
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.753457
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.153541
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.534829
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.936073
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.378781
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.869686
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35715
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89715
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53529
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2554
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80538
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16659
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.33115
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.12519
(338.53, 7.61, 336.09) (314.37, 0.43, 305.00) (1.42, 1.43, 1.38) Tools 24.47519
(338.53, 7.61, 336.09) (314.37, 0.43, 305.00) (1.42, 1.43, 1.38) Tools 24.44242
(338.53, 7.61, 336.09) (314.37, 0.43, 305.00) (1.42, 1.43, 1.38) Tools 24.41451
(338.53, 7.61, 336.09) (314.37, 1.79, 305.00) (1.42, 1.43, 1.38) Tools 24.40113
(338.53, 7.61, 336.09) (314.37, 1.79, 305.00) (1.42, 1.43, 1.38) Tools 24.39339
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 24.1732
(338.53, 7.61, 336.09) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 24.16705
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.800174
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.013889
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.245249
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.49643
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.770007
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.06913
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.397372
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.759198
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.159903
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.525352
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.925666
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.367325
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.856982
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37491
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93293
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59612
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37384
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.46397
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.19542
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.36774
(338.53, 7.61, 336.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.17323
(338.53, 7.61, 336.09) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 24.17701
