¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
³(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.578646
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.131567
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.372109
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.640369
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.933626
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.251729
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.586007
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.954232
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.361738
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.80376
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.262914
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.477525
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.45359
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.431611
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.411562
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.393429
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.377187
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.362824
³(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.350325
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.339678
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.330874
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.3239
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.318751
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.315426
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.313916
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.340964
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.517102
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.706409
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.910367
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.130713
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.369387
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.634814
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.927529
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.242198
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.575525
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.942678
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.336484
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.74523
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.197985
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.351067
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.32751
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.305882
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.286157
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.268321
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.252355
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.238239
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.225963
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.215513
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.206879
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.200055
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.195032
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.191806
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.190371
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.340486
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.516581
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.70586
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.909799
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.130065
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.368725
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.629487
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.921694
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.232978
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.565425
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.918511
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.284626
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.688023
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.134563
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.229726
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.206529
¸(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.185235
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.165822
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.14827
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.132564
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.118685
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.10662
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.096359
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.08789
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.081206
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.076301
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.073168
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.071805
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.340163
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.516251
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.705525
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.909409
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.129645
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.368235
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.627535
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.916105
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.224116
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.542578
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.872321
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.233963
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.632156
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.072657
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.113256
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.090405
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.06943
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.050315
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.033034
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.017576
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.003922
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.992061
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.981978
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.973666
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.967116
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.962322
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.959279
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.957982
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.339983
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.5161
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.705343
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.909211
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.129437
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.368014
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.627238
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.910772
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.202677
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.501215
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.827158
À(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.184392
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.577568
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.012247
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.001431
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.978909
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.958241
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.939407
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.922388
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.907167
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.89373
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.882059
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.872149
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.863987
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.857565
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.852877
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.849916
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.848682
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.339983
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.51609
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.705302
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.909197
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.129441
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.368002
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.627253
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.911717
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.165483
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.46074
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.783006
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.136005
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.524265
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.918098
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.894038
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.871832
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.851457
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.832894
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.816124
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.801129
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.787896
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.776412
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.766665
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.758642
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.752342
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.747754
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.744874
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.743702
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.340141
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.516232
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.705478
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.909401
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.129657
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.36825
Ã(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.629215
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.905555
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.140311
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.421208
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.739829
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.08867
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.472204
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.814615
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.790878
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.768974
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.74888
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.730576
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.714044
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.699266
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.686231
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.674922
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.665329
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.657443
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.651258
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.646766
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.643962
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.642846
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.340467
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.516554
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.705858
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.909774
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.13006
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.370286
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.633227
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.897906
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.132086
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.384198
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.697599
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.042449
(333.55, 7.64, 359.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.421391
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.715192
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.691767
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.670153
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.650326
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.632269
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.615966
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.601395
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.588547
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.577406
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.567963
(333.55, 7.64, 359.16) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 8.560206
