¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ã(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26992
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.394489
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.56651
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.74688
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.936123
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13491
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36955
ù(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61793
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88797
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11864
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31161
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51371
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72546
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94752
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19141
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91107
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.91833
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.772588
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.976527
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.525298
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.77953
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.047712
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.304626
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.582518
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.883949
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.168801
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.44191
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.735694
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.055231
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.40681
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.581956
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.762931
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.952866
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15237
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36209
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60106
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86674
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07812
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26962
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47017
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68029
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90061
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13181
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63279
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.2816
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.770615
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.974401
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.519816
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.765778
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.026817
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.28207
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.558132
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.857489
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.155048
(326.35, 6.99, 331.33) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.427174
