¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.580027
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.489144
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.999252
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56944
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14567
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78845
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53146
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24973
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06208
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.13365
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.48113
(397.03, 13.82, 246.95) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 15.86588
(397.03, 13.82, 246.95) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 15.85553
(397.03, 13.82, 246.95) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 15.84828
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.163159
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.32524
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.498928
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.364892
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.338426
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.313251
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.289338
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.798288
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 6.07327
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 6.376937
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 6.713946
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.018872
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.119439
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.224357
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.732468
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.670289
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.610655
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.659294
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13818
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77398
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51303
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23672
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03748
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.08028
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.41605
(397.03, 13.82, 246.95) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.64918
(397.03, 13.82, 246.95) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.69911
(397.03, 13.82, 246.95) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 16.75261
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.159428
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.321271
ø(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.406176
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.378311
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.351771
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.326524
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.536537
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.785543
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 6.05924
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 6.36142
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 6.539112
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 6.624029
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 6.712505
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.082065
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.025867
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 7.971991
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 7.940336
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54999
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13203
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7671
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49628
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22566
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02507
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.0297
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.35609
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.98456
(397.03, 13.82, 246.95) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.20149
(397.03, 13.82, 246.95) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 18.26459
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.155864
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.317465
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.420815
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.392865
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.366244
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.34092
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.525122
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.773034
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 6.045472
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 6.124604
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 6.196895
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 6.288525
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 7.527326
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 7.475829
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 7.426468
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 7.379185
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.972343
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54192
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12721
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76171
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48128
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21665
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01208
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98186
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.29951
ø(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.83392
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.67116
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.27718
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.151041
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.313884
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.43661
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.408569
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.381861
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.356453
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.513921
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.703606
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.763155
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.825109
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.941958
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 7.049035
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 7.001282
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 6.955519
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 6.911688
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.289374
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.702921
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.820421
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12375
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75784
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4712
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19743
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88181
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64404
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.24615
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.68925
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.51044
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.85373
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.145991
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.310124
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.453578
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.425439
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.398637
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.373141
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.39413
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.44544
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.498818
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.632914
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 6.63281
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 6.588079
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 6.545215
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 6.504164
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 7.704885
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.156677
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.257488
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 8.519703
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12161
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75546
á(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46737
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0839
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75615
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50419
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.19603
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.62995
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.32138
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.45007
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.141123
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.304937
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.479762
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.664878
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.416592
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.390998
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.366688
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.343632
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.355676
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 6.267675
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 6.225406
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 6.184902
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 6.146111
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 7.199119
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 7.679008
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 7.766082
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 7.856705
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52445
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12079
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75371
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45943
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02231
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63496
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36946
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.14907
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.5867
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.8806
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.00427
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.136455
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.299943
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.475273
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.661484
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.860525
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.075273
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.307612
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 5.987078
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 5.945106
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 5.904859
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 5.86629
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 5.82935
(397.03, 13.82, 246.95) (387.60, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 5.95754
