¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
— (436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.041859
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.234273
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.198298
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.164221
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.132003
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.101613
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.073018
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.046186
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.021091
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.997706
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.976009
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.307917
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.453344
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.215158
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.449305
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.70314
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.972191
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.257658
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.569078
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.909967
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.284738
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.704022
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.161253
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.214286
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.201967
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.191461
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.182772
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.228947
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.252064
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.214299
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.178464
 (436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.144524
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.112436
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.082171
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.053696
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.026979
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.001995
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.978715
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.957119
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.167446
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.148617
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.216234
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.450448
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.704381
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.976355
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.262178
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.573985
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.915375
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.290685
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.705125
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.165523
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.556949
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.976264
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.01894
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.01084
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.977205
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.233686
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.196054
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.160349
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.126531
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.094563
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.064413
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.036045
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.009434
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.98455
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.961367
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.939861
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.164013
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.179811
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.217368
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.451688
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.705712
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.980654
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.266865
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.579104
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.920972
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.296848
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.711949
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.148155
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.531054
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.946218
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.05949
– (436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.00699
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.956966
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.217031
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.179521
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.143932
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.110225
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.078364
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.048317
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.020049
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.993532
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.968739
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.945643
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.924221
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.21114
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.398742
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.218577
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.452977
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.707111
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.983514
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.271706
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.584367
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.926764
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.30319
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.718986
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.123453
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.515182
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.923848
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.04104
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.988685
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.938803
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.202083
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.16468
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.129195
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.095589
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.063825
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.033868
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.005692
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.979258
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.954547
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.93153
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.910181
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.182815
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.383937
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.219813
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.454316
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.708611
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.985128
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.276659
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.589814
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.932714
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.309763
™ (436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.722925
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.099428
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.500051
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.907364
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.02467
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.972448
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.922694
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.188824
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.151517
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.116126
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.082608
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.050928
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.021054
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.992954
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.966597
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.941958
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.919008
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.897727
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.156404
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.370806
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.221134
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.455762
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.710148
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.986794
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.28178
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.595399
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.938851
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.316528
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.701444
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.075981
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.485653
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.89159
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.01038
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.958268
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.908622
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.177241
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.140019
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.104708
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.071267
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.039662
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.00986
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.981829
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.955537
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.93096
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.908072
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.886848
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.131875
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.359334
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.222505
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.457266
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.711769
“ (436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.988558
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.287067
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.601161
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.945175
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.323492
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.680573
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.053191
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.461166
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.876646
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.998137
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.946125
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.896573
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.167325
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.130175
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.094932
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.061558
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.030017
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.000277
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.972303
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.946068
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.921544
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.898708
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.877532
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.109198
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.349512
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.223946
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.458804
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.713434
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.990374
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.292503
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.607098
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.951666
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.320301
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.660233
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.030993
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.436877
(436.85, 13.84, 291.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.862458
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.987941
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.93601
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.886535
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.159063
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.121972
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.086787
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.053469
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.02198
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.992291
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.964366
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.938178
(436.85, 13.84, 291.11) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 7.9137
