¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ó (410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.90972
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.98007
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.44884
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.46558
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.69749
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.931424
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.162116
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.412779
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.686059
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.985088
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.313612
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.676134
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.078126
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.5263
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.022894
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.581886
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.22177
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.01441
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.81127
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.83686
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.06209
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.54924
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.68533
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.72204
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.940003
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.171422
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.422907
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.697118
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.997213
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.32696
Ò (410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.690897
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.094538
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.54465
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.049638
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.611915
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.25469
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.06766
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.86844
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.90592
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.14518
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.65108
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.86944
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.74817
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.948632
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.180784
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.433096
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.708249
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.009417
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.340396
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.70576
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.111066
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.563135
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.070443
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.642994
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.2879
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.03771
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.92738
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.9758
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.22934
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.75438
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.98943
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.89285
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.957313
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.190202
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.443349
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.719447
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.021698
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.353921
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.720725
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.127707
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.581752
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.0914
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.66741
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.32164
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.08858
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.98696
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.04651
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.31459
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.85915
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.29188
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.66362
ã (410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.966039
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.199673
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.453657
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.730711
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.034052
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.367529
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.735785
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.144462
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.600494
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.112511
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.691357
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.34602
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.13997
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.04718
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.11803
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.40092
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.96537
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.94971
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.99881
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.974811
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.209193
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.464025
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.74204
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.04648
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.381222
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.75094
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.161323
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.619369
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.133769
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.71548
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.37207
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.19185
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.10803
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.19038
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.48833
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.07309
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.02958
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.08408
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.98363
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.218764
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.474449
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.753432
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.058979
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.394992
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.766187
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.178292
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.638364
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.15517
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.739775
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.39815
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.24423
Õ (410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.16951
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.26355
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.57684
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.1823
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.10967
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.16977
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.992491
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.228384
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.484927
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.764884
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.071547
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.408844
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.781525
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.195366
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.65748
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.176718
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.739779
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.42424
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.28264
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.23163
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.33754
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.66645
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.29301
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.18999
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.25587
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.001394
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.238052
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.495457
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.776397
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.084182
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.422771
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.79695
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.212541
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.676716
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.198404
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.739974
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.45034
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.31441
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.29438
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.41235
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.75715
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.40523
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.25003
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.34235
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.01034
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.247764
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.506039
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.787968
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.096883
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.436775
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.812462
Ä (410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.229816
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.696069
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.220229
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.756387
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.47645
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.3452
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.35756
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.48798
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.84895
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.51897
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.28281
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.42921
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.019322
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.25752
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.516669
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.799593
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.109646
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.45085
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.828058
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.247187
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.715535
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.224176
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.776139
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.50257
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.37533
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.40324
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.56443
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.94185
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.64308
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.31696
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.51642
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.028345
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.267318
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.527347
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.811271
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.122472
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.464993
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.843733
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.264654
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.73511
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.206255
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.797147
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.52867
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.40541
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.44481
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.6417
(410.13, 7.03, 362.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.03586
