¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‡ (391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.437017
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.43536
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.72715
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.344186
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.607168
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.857405
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.790923
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.727038
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.665639
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.610821
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.595527
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.612066
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.637163
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.663595
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.691391
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91486
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44446
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03598
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.60328
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.58541
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.57138
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.56118
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.5548
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.55224
ş(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.324136
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.58539
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.857571
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.791087
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.727199
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.665796
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.639342
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.642863
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.667315
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.693095
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.72023
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.748753
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88846
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42468
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01421
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.15395
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.304238
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.928275
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.859049
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.792538
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.728624
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.685839
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.675671
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.699498
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.724645
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.751142
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.779018
(391.37, 13.71, 251.39) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.697443
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87138
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.406
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99366
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.01469
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 6.00324
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.931121
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.861842
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.79528
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.735093
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.71722
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.733725
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.758263
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.784141
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.811392
(391.37, 13.71, 251.39) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.406362
(391.37, 13.71, 251.39) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.669906
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85538
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38844
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97821
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.87451
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 6.007508
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.935308
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.865951
… (391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.799315
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.767999
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.770012
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.793956
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.819238
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.845886
(391.37, 13.71, 251.39) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.409432
(391.37, 13.71, 251.39) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.451676
(391.37, 13.71, 251.39) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.642069
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82943
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37201
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98184
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01433
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 6.01315
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.940842
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.871382
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.821665
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.808374
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.831744
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.85645
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.882518
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.909975
(391.37, 13.71, 251.39) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.45591
(391.37, 13.71, 251.39) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.498831
(391.37, 13.71, 251.39) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.613947
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7698
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35668
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98596
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01911
(391.37, 13.71, 251.39) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 23.27491
(391.37, 13.71, 251.39) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 23.21371
(391.37, 13.71, 251.39) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 23.5695
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 6.020171
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.947729
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.878311
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.857683
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.871646
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.895796
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.921303
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.948196
(391.37, 13.71, 251.39) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.46256
(391.37, 13.71, 251.39) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.504245
(391.37, 13.71, 251.39) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.547878
(391.37, 13.71, 251.39) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 7.593511
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71111
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34243
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99051
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02443
(391.37, 13.71, 251.39) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 23.04907
(391.37, 13.71, 251.39) (361.19, 8.76, 278.06) (2.32, 3.50, 4.32) Truck 23.03881
