¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
»(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.146701
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80438
«(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60126
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53998
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.52631
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 17.43177
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 17.40513
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 17.38195
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 17.36221
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 17.3459
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 17.33299
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 17.32347
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 17.31734
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 17.12633
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.352834
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.609992
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.890265
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.196831
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.533484
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.904779
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.316258
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.774769
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.288692
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.868587
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50846
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20104
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99379
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72705
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51383
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40734
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.22694
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 16.52444
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 16.49924
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 16.47732
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 16.45867
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 16.44325
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 16.43106
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 16.4221
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 16.41634
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 16.23532
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.352307
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.609437
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.889647
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.196142
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.532714
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.90395
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.315337
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.773712
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.287495
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.867264
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51266
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20583
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95724
¦(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63032
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42837
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.73688
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.70982
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.6859
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.66511
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.64742
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.63281
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.62127
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.61279
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.60736
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.4353
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.351756
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.608843
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.889018
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.195448
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.531956
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.903086
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.314383
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.772657
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.286308
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.865904
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51702
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21077
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88295
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53845
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32676
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2149
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 15.00021
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.97446
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.9517
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.93192
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.9151
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.90121
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.89025
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.88221
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.87707
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.71315
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.351205
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.608224
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.888366
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.194714
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.53113
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.9022
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.313393
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.771564
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.285104
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.864504
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5215
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21585
»(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8103
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45736
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22094
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10777
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.33215
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.30758
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.28587
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.267
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.25096
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.23772
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.22729
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.21963
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.21476
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 14.05817
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.350668
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.607625
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.887675
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.193975
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.530337
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.901303
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.31242
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.770445
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.28384
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.863131
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.989865
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.960527
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.933296
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.908137
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.885026
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.863944
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.844866
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.827774
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.81265
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.799479
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.788252
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.778953
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.771575
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.766109
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.762556
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.760902
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.350062
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.606988
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.886984
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.193229
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.529502
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.90038
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.311383
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.769323
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.282579
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.522526
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.492659
Ğ(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.464818
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.438975
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.415102
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.393177
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.373176
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.355081
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.338873
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.324536
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.312055
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.301416
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.292616
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.285638
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.280478
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.277134
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.275597
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.349472
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.606357
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.886278
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.192477
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.528656
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.899468
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.310345
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.768171
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.103098
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.072713
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.044288
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 9.017792
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.993198
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.970484
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.949623
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.930595
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.913384
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.897972
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.884339
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.872477
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.86237
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.85401
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.847392
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.842505
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.839344
(331.57, 7.41, 368.64) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 8.837911
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.349266
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.605696
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.885584
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.191676
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.527802
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.898515
