¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
“(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.742162
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.14649
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.62183
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.3044
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.356332
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.484625
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.613001
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.743673
›(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.938684
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.152489
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.386746
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.642395
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.850876
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.216433
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.632088
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.979573
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.532748
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.099352
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.655256
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.296447
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.81153
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84368
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30657
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.045
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13324
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53058
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.3233
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.8134
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.27423
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.356858
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.485187
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.614133
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.745605
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.941736
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.155826
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.390406
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.648502
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.861278
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.228212
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.64554
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.006883
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.564651
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.136866
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.707274
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.354221
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45233
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87967
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34573
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12443
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2451
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.6532
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.50594
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.00834
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.2479
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.357578
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.485952
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.615548
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.748496
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.944884
¦(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.159269
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.394183
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.652665
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.871695
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.240015
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.659022
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.034347
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.596758
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.18032
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.760288
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.412529
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48696
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91728
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38671
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2169
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36032
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77964
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69469
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.21005
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.2259
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.35849
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.486924
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.617241
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.751474
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.948129
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.162814
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.398075
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.656955
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.882126
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.251836
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.672526
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.061962
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.629062
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.227298
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.814311
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12464
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52318
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95656
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42954
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31589
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48093
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.91001
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.88973
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.43313
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.20841
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.359594
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.488101
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.619216
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.754539
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.951468
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.166464
¯(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.402081
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.661371
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.892569
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.263674
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.686053
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.089725
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.661561
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.275126
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.755669
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15953
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56094
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99756
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47419
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41769
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61013
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.04437
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.09138
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.48109
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.40871
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.360892
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.489481
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.621473
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.757693
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.954903
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.17022
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.406203
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.665914
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.903023
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.275525
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.6996
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.11763
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.694248
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.323818
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.823003
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19585
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60026
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04028
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52084
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52157
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71974
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.17472
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.24221
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.5627
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.21467
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.7757
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.362383
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.49107
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.624012
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.760932
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.958433
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.174078
À(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.410439
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.670585
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.913486
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.287389
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.713165
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.145675
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.72712
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.30109
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.852592
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22547
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62985
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06977
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59063
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60765
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82328
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.31855
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.27684
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.64816
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.1166
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.48453
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.92944
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.364066
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.492863
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.626834
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.764261
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.962056
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.178041
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.414788
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.675381
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.923952
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.299263
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.726745
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.173851
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.760167
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.33019
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.871249
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24561
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65163
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09346
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66528
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69612
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92977
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.48012
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.31416
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.73762
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.02637
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.2048
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.63953
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.365944
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.494863
(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.629939
Ä(331.87, 6.80, 325.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.767672
