¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
† (392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.289144
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.726972
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.728405
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.731152
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.735214
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.740595
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.327807
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.605258
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.917928
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.265756
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.652014
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.083269
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.566797
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.049231
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.325578
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 8.537742
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 8.52731
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.082546
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.076666
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.072175
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.069066
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.067337
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.410131
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.715788
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.709341
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.704212
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.700396
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.697889
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.696689
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.696795
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.698207
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.700926
ÿ(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.704955
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.710298
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.310697
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.586522
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.896761
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.242342
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.625906
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.054044
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.534879
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.015751
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.286448
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.259562
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 8.914942
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 8.906543
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.399593
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.395514
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.392879
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.391687
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.391935
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.687181
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.680746
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.675624
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.671809
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.669299
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.66809
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.668181
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.669573
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.672266
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.676263
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.681568
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.293595
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.567792
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.875602
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.218887
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.599803
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.024793
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.501908
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.98245
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.249427
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.222825
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.198519
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.176276
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.75495
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.751386
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.746525
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.734195
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.667836
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.660101
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.65368
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.648564
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.644753
ú(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.642239
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.641021
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.641098
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.642471
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.645139
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.649107
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.654377
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.276494
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.549088
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.854382
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.19538
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.573668
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.995563
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.468967
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.949337
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.478667
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.188688
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.164459
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.142564
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.746071
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.727572
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.716808
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.704513
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.642243
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.634525
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.628115
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.623007
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.619196
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.61668
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.615454
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.615518
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.616873
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.619518
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.623457
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.628694
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.259386
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.530371
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.833178
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.171898
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.547513
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.966309
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.436037
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.916398
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.444777
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06582
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.211911
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.114204
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.984426
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.699371
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.688805
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.67654
ò(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.618124
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.610422
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.604023
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.598922
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.595114
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.592594
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.591362
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.591413
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.59275
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.595374
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.599287
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.604493
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.242289
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.511662
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.811921
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.14837
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.521385
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.937074
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.403156
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.88373
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.411767
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0282
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68619
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.704258
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.08414
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.148333
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.662484
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.65025
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.595457
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.587769
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.581381
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.576286
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.572479
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.569957
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.568717
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.568757
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.570079
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.572683
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.576571
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.581748
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.225225
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.492979
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.790656
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.1249
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.495271
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.907873
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.370253
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.85123
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.833155
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.990723
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.697701
‚ (392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.679001
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.512358
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.512527
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.63782
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.58319
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.574214
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.566541
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.560163
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.555074
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.551269
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.548744
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.547498
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.547528
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.548835
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.55142
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.555285
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.560435
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.208156
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.474344
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.769405
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.101388
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.469124
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.87869
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.337421
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.818966
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.133533
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.129275
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.674041
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.655399
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.638365
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.887286
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.877386
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.563334
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.554376
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.546716
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.540348
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.535264
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.531461
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.528934
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.527682
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.527702
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.528996
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.531563
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.535407
(392.22, 13.97, 249.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 6.540532
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.19113
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.455713
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.748152
(392.22, 13.97, 249.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.077909
