¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.963476
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.319272
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.294042
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.270074
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.24734
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.225817
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.20548
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.186307
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.168279
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.151376
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.135582
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.120879
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.107254
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.094691
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.083179
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.072705
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.06326
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.481305
š (422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.127664
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.113427
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.801838
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.32681
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.240372
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.2155
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.191873
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.169459
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.148238
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.128187
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.109283
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.091507
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.07484
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.059265
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.044766
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.031328
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.018937
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.007581
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.997248
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.019647
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.497755
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.184233
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.169854
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.834812
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.36921
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.164766
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.140237
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.116933
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.094828
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.073899
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.054121
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.035476
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.017942
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.001502
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.986137
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.971833
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.958575
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.946349
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.935143
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.924946
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.033534
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.514447
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.243136
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.228608
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.868359
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.57628
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.092286
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.068086
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.045094
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.023285
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.002635
› (422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.983121
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.964724
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.947422
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.931199
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.916036
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.90192
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.888834
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.876768
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.865706
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.855639
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.047616
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.531385
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.304455
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.28977
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.902484
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.79003
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.02277
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.998887
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.976196
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.95467
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.934289
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.915029
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.896869
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.879791
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.863775
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.848808
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.834871
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.821953
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.810038
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.799115
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.789173
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.061896
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.548569
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.368277
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.353429
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.937191
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.01066
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.956078
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.932498
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.910094
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.888843
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.868718
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.849701
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.831769
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.814906
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.799092
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.784311
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.770548
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.757789
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.746021
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.735231
 (422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.72541
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.076371
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.566
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.434691
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.419672
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.972486
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.59357
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.57664
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.56355
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.55429
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.54884
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.54721
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.54939
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.892069
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.868782
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.846655
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.825665
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.805789
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.787005
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.769293
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.752636
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.737015
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.722413
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.708817
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.696211
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.684584
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.673923
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.679127
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.091042
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.583674
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.503797
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.488599
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.45824
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.43762
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.42082
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.40783
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.39864
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.39324
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.39161
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.39378
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.39971
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.830619
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.807612
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.785751
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.765013
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.745375
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.726816
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.709315
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.692857
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.677421
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.662992
Œ (422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.649555
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.637098
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.625606
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.615068
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.691656
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.105908
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.601595
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.575697
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.560314
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.30832
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.28786
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.27118
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.25829
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.24917
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.24381
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.2422
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.24434
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.25023
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.771607
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.748869
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.727265
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.706769
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.68736
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.669017
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.651721
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.635451
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.620193
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.605931
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.592649
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.580333
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.568972
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.558553
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.704343
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.120969
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.619763
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.6505
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.634922
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.59045
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.14408
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.12754
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.11474
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.10568
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.10036
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.09876
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.10088
(422.95, 14.77, 252.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.10673
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.714924
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.692445
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.671086
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.650824
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 4.631635
