°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¡(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.82371
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.030591
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.03475
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.040288
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.047211
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.055522
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.065232
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.076351
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.903883
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.904072
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.954802
∑(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.197839
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.463728
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.755035
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.075287
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.428934
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.821399
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.259344
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.749767
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.303762
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.189978
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.165524
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.146412
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.129459
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.11397
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.099928
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.087322
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.076137
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.066363
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.062311
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.06653
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.072134
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.079127
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.087518
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.097314
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.108524
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.90207
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.93971
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.967784
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.197062
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.463071
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.754315
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.074493
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.428055
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.820422
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.257592
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.747553
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.301253
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.224167
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.197718
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.179189
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.162148
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.146578
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.132462
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.119788
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.108541
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.098712
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.095701
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.099983
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.105657
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.112727
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.1212
©(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.131087
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.142393
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.900316
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.974435
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.992179
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.196535
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.462495
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.753685
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.073797
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.427287
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.819419
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.255766
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.745498
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.298921
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.260157
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.232314
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.213686
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.196552
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.180896
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.166701
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.153956
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.142645
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.132758
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.130798
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.135147
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.140893
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.148044
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.156606
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.166586
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.177997
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.898588
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.009839
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.01765
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.196082
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.462
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.75314
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.073199
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.426624
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.817908
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.254077
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.743741
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.3001
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.29799
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.268674
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.249939
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.232709
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.216962
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.202686
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.189865
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.178485
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.168538
¨(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.16764
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.172059
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.177884
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.185119
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.193774
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.203855
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.215374
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.896955
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.046857
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.044217
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.195703
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.461585
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.752685
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.072699
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.425654
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.816525
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.252791
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.74496
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.301485
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.337714
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.306837
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.287993
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.270659
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.254818
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.240456
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.227554
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.216104
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.206092
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.20627
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.210763
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.21667
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.223996
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.232749
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.242935
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.250926
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.895362
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.085539
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.071908
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.195396
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.461251
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.752321
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.072296
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.42452
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.815597
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.254005
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.746326
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.302227
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.379734
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.247159
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.228924
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.212182
ª(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.196917
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.183115
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.17076
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.167711
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.245465
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.246732
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.251304
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.252763
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.184712
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.120436
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.119166
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.119285
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.893817
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.116349
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.100746
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.195165
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.460999
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.752043
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.071377
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.423865
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.816799
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.255349
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.747841
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.300867
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.431623
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.288263
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.269913
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.253066
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.237704
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.223813
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.211379
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.202235
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.286702
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.141194
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.134345
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.128896
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.124843
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.122183
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.120914
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.121032
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.894492
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.116423
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.136853
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.195006
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.460827
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.751658
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.070929
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.425052
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.818118
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.256827
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.748544
À(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.299692
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.497705
