¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
— (412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.650428
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.07091
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.117407
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.176958
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.282893
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.436678
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.748317
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.93854
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.0596
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 20.894
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 20.96935
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 20.99565
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.02613
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.0608
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.09972
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.1429
€ (412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.1904
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.095788
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.504809
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.962179
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.473471
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.874538
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.473804
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.303682
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.198648
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.134799
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.090639
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.070775
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.072186
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.084803
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.13148
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.183927
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.290039
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.430935
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.697316
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.8596
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46515
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.66254
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.13611
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.16295
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.194
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.22928
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.26884
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.3127
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.36092
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.051203
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.451943
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.903177
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.407289
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.973945
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.528334
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.340733
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.235
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.162473
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.118134
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.092072
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.093551
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.100347
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.147223
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.196386
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.298765
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.426639
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.64782
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81532
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10674
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.03
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.3097
˜ (412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.33711
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.36875
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.40467
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.4449
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.48948
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.53845
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.006801
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.399328
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.844557
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 9.024136
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.967322
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.912945
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.86094
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.819223
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.835841
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.14763
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.115171
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.116725
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.120056
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.164648
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.214039
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.30908
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.423785
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.641912
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.77416
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.06409
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44111
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.49036
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.51835
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.55063
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.58722
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.62816
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.67348
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.72324
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.962612
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.347296
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.786316
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.834872
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.844893
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.856664
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.870199
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.885509
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.902611
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.997533
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.140096
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.14173
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.145145
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.183774
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.233416
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.320993
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.43224
‘ (412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.64043
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69712
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.00582
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.32668
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.67834
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.70695
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.73989
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.77718
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.81886
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.86497
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.91556
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.918626
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.298736
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.728432
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.901878
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.912345
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.924578
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.938588
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.954393
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.972003
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.991441
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.170011
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.16859
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.172098
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.204614
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.254531
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.334512
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.96967
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.24534
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.53399
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.83642
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15353
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.8739
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.90317
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.9368
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.97483
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 22.01729
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 22.06422
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 22.11568
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.874874
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.250472
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.670935
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.971472
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.982406
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 8.995124
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 9.009638
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 9.025958
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 9.044105
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 9.064095
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.205481
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.197331
ü(412.69, 12.50, 330.96) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.34737
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95491
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28178
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56491
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82336
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.09373
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.37675
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.67318
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13254
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 22.02127
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 22.10728
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 22.14165
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 22.18045
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 22.22373
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 22.27153
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 22.3239
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.831343
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.202498
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.613811
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 9.043735
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 9.055162
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 9.06839
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 9.083429
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 9.100296
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 9.119005
(412.69, 12.50, 330.96) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 9.139578
(412.69, 12.50, 330.96) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.10603
(412.69, 12.50, 330.96) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.05451
(412.69, 12.50, 330.96) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 12.2309
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.72943
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.04593
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37934
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.68225
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94755
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.2252
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51591
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21309
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 22.23232
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 22.31961
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 22.35474
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 22.39436
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 22.4385
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 22.4872
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 22.54052
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.788101
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.154772
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.559464
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.020059
