¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ô(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 18.62282
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.914533
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.429165
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00297
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56613
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13526
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7716
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79828
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01405
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.80206
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.65925
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.58202
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.54522
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.55796
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.62035
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.73203
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.94088
(444.36, 14.31, 266.83) (432.24, 8.60, 233.95) (2.32, 1.85, 2.92) Tools 17.94092
(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 18.24123
(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 18.28827
(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 18.15113
(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 17.78383
ì(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 17.36019
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.66847
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.031343
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.443421
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.901886
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.41497
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.99157
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59457
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17345
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81448
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84081
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1036
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.86189
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.71081
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.62903
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.58902
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.60193
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.66191
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.77085
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.97497
(444.36, 14.31, 266.83) (432.24, 8.60, 233.95) (2.32, 1.85, 2.92) Tools 17.55673
(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 17.82135
(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 17.86526
(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 17.73851
(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 17.49517
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.660349
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.020882
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.431787
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.888926
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.400391
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.976371
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58141
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21191
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85763
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88229
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15711
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.92558
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.76571
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.6791
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.63567
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.64878
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.70622
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.81229
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.01146
(444.36, 14.31, 266.83) (432.24, 8.60, 233.95) (2.32, 1.85, 2.92) Tools 17.19101
(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 17.63607
(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 17.63585
(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 17.63908
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.652044
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.011063
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.419861
Ş(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.875598
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.385447
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.959466
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56797
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24712
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9011
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9227
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1044
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.99322
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.824
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.73227
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.68525
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.69855
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.75331
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.85638
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.05038
(444.36, 14.31, 266.83) (432.24, 8.60, 233.95) (2.32, 1.85, 2.92) Tools 17.29042
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.643512
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.001947
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.407656
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.861965
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.370117
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.942158
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5542
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23147
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9449
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96202
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03143
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.06491
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.88576
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.7886
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.73778
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.75129
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.80325
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.90316
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.09177
(444.36, 14.31, 266.83) (432.24, 8.60, 233.95) (2.32, 1.85, 2.92) Tools 17.44819
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.634795
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.995457
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.395345
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.848021
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.354457
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.924461
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54015
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2155
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98583
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90864
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95856
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.14075
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.95107
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.84816
é(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.79451
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.80706
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.85606
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.95268
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.13638
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.69066
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.627288
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.988751
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.387877
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.83375
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.33845
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.906372
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52582
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19922
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96714
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8466
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88585
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.22084
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.01999
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.91101
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.85702
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.86592
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.91182
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.00498
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.19014
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.71346
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.620965
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.981779
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.380153
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.822211
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.322092
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.887896
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51118
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18261
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95425
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79673
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81327
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.30529
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.09262
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.97723
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.92287
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.92793
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.97056
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.0601
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.24682
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.73793
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.614421
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.974539
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.372171
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.813313
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.305441
å(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.869051
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4963
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16568
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95563
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81401
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74088
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.39424
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.16905
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.04688
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.99214
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.99315
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.03236
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.12228
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.30647
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.76408
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.60764
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.967118
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.363905
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.804121
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.295178
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.849841
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48114
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14846
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9564
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83127
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69957
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.48781
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.24937
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.12005
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.06491
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.06166
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.09726
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.18813
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.36914
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.79191
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.600672
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.959409
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.355399
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.794643
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.284554
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.8343
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46343
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14481
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9566
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84852
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71925
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.58615
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.33369
