¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¹(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.238613
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.441158
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.637758
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.843848
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.06723
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.312607
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.580009
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.858028
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.165837
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.514437
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.73011
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.405475
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.370057
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.339592
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.321716
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.307956
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.295297
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.287459
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.282578
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.278733
·(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.275922
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.274142
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.27339
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.273667
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.274972
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.277307
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.280674
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.285077
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.247824
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.429966
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.62577
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.83091
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.052961
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.297099
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.563095
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.840001
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.144774
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.491202
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.806051
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.4705
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.396271
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.365573
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.345625
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.331792
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.319063
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.31073
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.30584
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.301991
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.299181
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.297405
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.296663
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.296954
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.298277
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.300635
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.304029
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.308464
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.237579
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.418945
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.613995
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.818204
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.039052
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.281856
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.546474
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.822349
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.124098
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.468402
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.886184
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.541789
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.42385
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.392905
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.370809
¼(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.356895
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.344093
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.335248
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.330348
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.326495
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.323685
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.321914
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.321182
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.321487
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.32283
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.325212
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.328636
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.333105
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.227493
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.408094
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.602431
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.805729
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.025555
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.266883
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.530151
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.805073
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.103806
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.446031
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.970759
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.616911
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.452825
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.421621
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.397294
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.383297
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.370419
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.361038
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.356128
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.352272
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.349462
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.347697
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.346975
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.347296
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.34866
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.351068
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.354522
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.359026
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.217562
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.397414
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.59108
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.793484
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.012309
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.252176
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.514121
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.788168
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.084389
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.424086
Õ(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 6.060049
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.696091
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.483231
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.451752
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.425109
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.411027
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.398067
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.388128
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.38321
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.379348
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.376539
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.374781
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.37407
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.374407
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.375793
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.378228
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.381715
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.386257
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.207789
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.386904
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.579906
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.781471
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.999316
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.237735
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.498384
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.771637
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.066321
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.402569
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 6.154346
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.779568
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.515103
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.483337
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.454288
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.440114
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.42707
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.416552
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.411623
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.407756
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.404948
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.403195
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.402497
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.402852
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.404261
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.406724
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.410246
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.414828
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.198175
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.376565
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.568762
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.769688
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.986575
Ê(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.223559
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.482942
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.755475
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.048663
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.381476
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.754055
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.867611
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.548483
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.516415
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.485778
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.470595
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.457461
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.446339
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.4414
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.437529
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.434721
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.432976
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.432291
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.432664
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.434097
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.436591
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.440148
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.444772
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.188717
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.366399
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.557804
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.758134
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.974083
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.209649
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.467791
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.73968
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.03141
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.360804
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.731042
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.960507
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.609791
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.551025
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.520082
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.502504
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.489275
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.477525
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.472576
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.468699
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.465894
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.464156
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.463484
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.463877
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.465335
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.467862
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.471456
(431.26, 10.27, 363.16) (406.74, 2.18, 365.97) (8.55, 3.22, 4.37) Truck 5.476125
°(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.179419
(431.26, 10.27, 363.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.356403
