¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ (421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.63814
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.929636
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.345187
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.369584
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.290445
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.258492
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.235481
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.214015
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.194073
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.175628
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.158685
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.143184
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.129157
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.116577
 (421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.105397
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.095662
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.087314
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.08038
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.074821
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.085743
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.133022
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.251136
(421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.40573
(421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.40849
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.619764
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.901851
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.210521
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.549589
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.923781
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.443254
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.297013
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.234613
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.206134
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.183232
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.161864
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.142022
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.123664
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.106778
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.091365
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.077384
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.064839
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.053715
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.043983
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.035651
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.028721
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.023171
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.032368
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.071258
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.154868
(421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.39882
(421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.40158
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.616818
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.897398
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.205629
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.544227
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.917845
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.393652
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.270552
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.212818
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.185308
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.162441
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.141107
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.121286
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.102949
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.086087
‡ (421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.070683
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.056703
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.04417
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.033044
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.02332
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.014982
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.00803
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.002473
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.011141
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.04741
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.123093
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.321848
(421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.45804
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.615145
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.894895
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.200786
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.538801
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.911848
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.405372
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.277335
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.218447
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.190689
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.167786
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.14641
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.126533
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.108161
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.091272
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.075823
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.061821
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.04924
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.038078
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.028325
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.019957
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.012973
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.007379
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.016169
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.053058
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.130442
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.360016
(421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.57845
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.613443
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.892993
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.198706
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.534375
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.90575
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.503469
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.320024
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.253047
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.223534
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.20049
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.178999
‚ (421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.159007
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.140524
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.123522
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.107988
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.093892
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.08124
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.069997
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.060173
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.051742
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.044705
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.039044
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.048743
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.089852
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.181128
(421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.81364
(421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.81619
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.611623
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.891033
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.196599
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.532017
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.901859
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.311729
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.428161
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.32916
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.293647
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.270339
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.248601
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.228379
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.20969
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.192475
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.176749
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.162502
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.149679
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.138296
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.128332
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.119803
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.112663
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.106934
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.119199
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.174066
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.378603
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.609783
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.889013
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.194376
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.529581
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.899192
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.30862
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.764626
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.27933
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.453348
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.429257
Ñ(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.406909
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.386122
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.366861
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.349105
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.332893
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.318212
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.30497
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.293228
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.282889
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.273998
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.26656
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.260568
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.291213
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.607886
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.886939
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.192101
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.527069
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.896381
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.305538
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.761179
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.27165
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.84772
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5105
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27125
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15326
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0363
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91408
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58402
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39738
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.22782
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.83097
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.53082
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.62302
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.74435
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.605913
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.884809
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.189772
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.524483
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.893561
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.302357
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.757637
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.267647
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.842781
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49621
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25014
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12868
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95437
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82057
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.51145
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.41612
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.18103
Ó(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.78095
