¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ú(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.250003
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.606377
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.27034
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.542131
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.839953
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.177991
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.554016
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.973224
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.443439
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.968511
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.545968
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23207
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03307
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.7593
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.73449
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.717999
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.703898
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.59067
Â(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.579559
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.57034
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.563001
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.58772
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.437232
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.999778
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.181849
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.378778
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.592398
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.254716
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.52505
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.821206
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.155755
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.529295
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.945627
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.412359
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.936102
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.50914
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19209
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99082
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80804
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.854491
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.837258
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.821997
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.5924
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.581289
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.572067
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.564727
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.45405
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.24295
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.438934
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.988884
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.170095
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.366054
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.578582
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.80982
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.508159
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.802691
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.133747
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.504841
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.918313
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.381701
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.904131
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.472868
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15269
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94927
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75467
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.858195
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.840956
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.825687
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.596005
Á(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.584888
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.575663
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.568318
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.45798
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.440511
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.442478
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.978117
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.158476
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.353479
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.564931
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.794951
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.49156
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.784417
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.112022
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.48069
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.891335
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.35141
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.870275
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.437128
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11381
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90678
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70243
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.863827
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.846578
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.831299
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.601484
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.590363
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.581131
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.573781
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.46395
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.4459
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.447868
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.967476
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.146994
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.341054
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.551446
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.780266
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.475097
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.766422
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.090537
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.456854
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.864739
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.321499
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.836424
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.401989
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07543
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8621
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.779383
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.752116
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.734532
