¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(424.01, 14.25, 323.10) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 17.67143
(424.01, 14.25, 323.10) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 24.47764
(424.01, 14.25, 323.10) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 24.51932
(424.01, 14.25, 323.10) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 24.56594
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 20.14783
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 20.208
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.149097
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.410564
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.695546
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.013935
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.365625
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.751812
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.178651
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.657018
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.196722
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48074
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19862
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0246
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01527
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2098
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59017
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2038
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.94231
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.5489
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.99261
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.80402
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.73434
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.75323
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.8674
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 20.13304
¡(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.31766
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.30046
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.28803
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.28033
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.142769
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.403651
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.688056
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.005315
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.356079
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.742213
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.167925
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.644959
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.811825
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46524
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18296
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00647
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98454
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17858
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.55976
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.17483
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.69356
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.29247
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 20.03887
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.82929
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.74477
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.74998
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.848
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 20.08813
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.49156
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.4881
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.48922
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.49492
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.136393
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.396688
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.680663
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.996615
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.346445
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.732543
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.157122
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.632813
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.797131
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44848
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16724
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98834
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95828
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1472
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.52931
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.14596
(424.01, 14.25, 323.10) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 17.2314
(424.01, 14.25, 323.10) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 17.25094
(424.01, 14.25, 323.10) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 17.2739
ª(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.85863
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.75907
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.75053
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.83239
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 20.04718
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.62788
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.6244
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.62552
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.63125
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.129968
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.389672
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.673217
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.98784
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.336729
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.722805
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.146242
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.620583
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.782344
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43161
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1515
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97014
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93188
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11569
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.4988
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01538
(424.01, 14.25, 323.10) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 17.2302
(424.01, 14.25, 323.10) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 17.24974
(424.01, 14.25, 323.10) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 17.27269
(424.01, 14.25, 323.10) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 17.29908
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.77726
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.75486
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.82056
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 20.01016
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.77046
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.76695
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.76807
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.77382
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.123495
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.382606
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.665723
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.97899
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.326932
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.712966
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.135291
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.197708
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.767448
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41463
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13573
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95188
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90533
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.084
¹(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.46829
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81046
(424.01, 14.25, 323.10) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 17.23227
(424.01, 14.25, 323.10) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 17.25182
(424.01, 14.25, 323.10) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 17.27478
(424.01, 14.25, 323.10) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 17.30118
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.80606
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.77389
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.82848
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.98518
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 20.4243
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.91592
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.91704
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.92282
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.11698
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.375491
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.658173
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.970067
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.317054
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.701977
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.124271
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.184441
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.752477
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39753
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1199
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9336
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87865
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05214
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43771
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.61139
(424.01, 14.25, 323.10) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 17.23763
(424.01, 14.25, 323.10) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 17.25719
(424.01, 14.25, 323.10) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 17.28018
(424.01, 14.25, 323.10) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 17.3066
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.8473
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.79987
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.84049
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.98081
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 20.33384
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.07149
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.07261
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.07842
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.110419
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.36833
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.650323
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.961074
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.307102
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.690906
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.668728
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.171161
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.737419
»(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38033
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10403
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9153
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85714
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02019
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39622
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.41799
(424.01, 14.25, 323.10) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 17.24626
(424.01, 14.25, 323.10) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 17.26586
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.37656
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 20.07447
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.8927
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.8298
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.85635
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.98026
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 20.26079
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.23385
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.23497
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.24082
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.103818
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.361123
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.642429
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.952014
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.297076
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.679755
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.656799
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.157747
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.722283
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36308
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08811
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89698
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83574
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98809
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.29908
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.23006
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.37276
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.69254
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.28576
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 20.14664
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.9423
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.86369
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.87606
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 19.98353
(424.01, 14.25, 323.10) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 20.23841
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.40321
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.40433
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.4102
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.097175
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.353874
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.634487
(424.01, 14.25, 323.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.94289
