¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‘ (442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.93083
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.1546
(442.44, 14.40, 262.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.661402
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.939952
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.069153
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.057026
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.046311
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.036998
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.029079
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.022546
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.017391
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.01361
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.011199
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.010156
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.010479
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.68405
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.65309
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.62456
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.59842
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.57465
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.55322
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.53412
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.51732
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.50281
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.49058
› (442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.48061
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.47288
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.4674
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.39001
(442.44, 14.40, 262.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.663352
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.947481
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.977683
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.965457
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.954629
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.945185
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.937118
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.930419
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.925082
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.9211
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.918473
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.917194
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.917265
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.918685
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.921453
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.87862
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.85181
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.82742
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.80543
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.78581
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.76855
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.75362
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.74102
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.73073
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.72274
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.71705
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.63787
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.284475
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.264786
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.246264
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.228888
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.212637
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.197498
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.183455
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.170493
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.158597
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.147758
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.137964
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.129206
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.827765
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.82893
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.831427
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.03828
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 12.011
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.98617
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.96378
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.94379
¢ (442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.92619
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.91097
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.89809
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.88756
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.87936
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.87349
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.86994
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.102884
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.083656
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.065557
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.048565
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.032665
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.017841
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.004078
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.991359
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.979672
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.969007
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.959352
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 5.128412
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.741807
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.742733
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.744976
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 13.87324
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 13.84167
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 13.81293
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 13.78699
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 13.76384
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 13.74343
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 13.72575
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 13.71079
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 13.69853
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 13.68896
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 13.68206
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 13.67784
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.934262
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.915474
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.897781
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.881162
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.865602
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.851083
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.837589
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.825111
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.813631
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.803141
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.793628
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.659821
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.659224
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.659926
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.66452
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.20666
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.17419
 (442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.14463
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.11793
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.09407
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.07304
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.0548
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.03934
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.02665
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.01671
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.00951
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.777308
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.758942
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.741638
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.725379
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.710144
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.695921
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.682694
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.670448
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.659172
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.648855
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.78407
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.580658
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.579868
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.580361
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.681274
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.55942
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.52599
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.49554
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.46803
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.44343
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.42172
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.40288
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.38689
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.37374
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.36341
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.35589
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.630881
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.61292
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.595991
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.580075
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.565156
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.551218
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.538248
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.52623
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.515154
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.505008
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.792542
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.504565
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.503593
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.503888
(442.44, 14.40, 262.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80893
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.93315
 (442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.89869
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.86729
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.83891
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.81352
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.79109
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.77161
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.75505
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.7414
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.73064
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 14.72276
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.493993
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.476419
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.459848
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.444263
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.429647
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.415986
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.403264
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.391468
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.380587
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.483554
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.433806
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.431408
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.430265
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.430374
(442.44, 14.40, 262.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.86229
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 15.26168
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 15.23237
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 15.20612
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 15.18293
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 15.16275
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 15.14558
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 15.13139
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 15.12017
(442.44, 14.40, 262.77) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 15.11191
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.365769
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.348566
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.332339
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.317072
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.302748
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.289351
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.276871
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.26529
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.254599
(442.44, 14.40, 262.77) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 4.490849
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.363609
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.361063
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.359758
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.359695
(442.44, 14.40, 262.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67349
