¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.969636
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.238195
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.53157
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.851326
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.188227
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.539362
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.923779
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.82276
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28093
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77483
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26274
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8015
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41918
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01633
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64156
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35156
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.31556
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.35802
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.81964
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.75432
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.662275
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.845779
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.042793
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.254811
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.483558
À(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.717675
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.966968
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.23694
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.530207
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.84984
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.189698
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.540966
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.40969
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.827387
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28601
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78238
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27105
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81565
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43489
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03549
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66884
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38178
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.32205
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36543
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.81156
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.56881
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.660617
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.844004
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.040886
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.252758
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.481343
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.716926
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.966158
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.236063
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.529253
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.848799
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.191747
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.032363
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.414722
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.832882
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29203
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79113
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2806
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83123
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45215
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0566
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69823
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41435
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.33095
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38168
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.80638
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.39073
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.65914
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.84242
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.039186
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.25093
Ô(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.47937
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.716499
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.965696
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.235563
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.52871
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.84821
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.659721
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.037693
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.420512
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.83925
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29899
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80105
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29146
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8482
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47099
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08091
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72974
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4493
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.35064
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.41234
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.80414
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.21977
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.82457
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.657843
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.841031
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.037695
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.249325
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.477637
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.716396
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.965586
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.235443
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.528581
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.289532
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.662609
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.043737
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.427101
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.846446
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30692
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81216
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30365
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8666
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4914
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11143
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76342
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47738
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.38306
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.43945
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.80478
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.05577
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.31997
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.8232
Ô(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.656725
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.839836
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.036413
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.247944
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.476148
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.716615
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.965823
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.2357
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.955086
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.292595
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.666017
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.050508
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.434517
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.854545
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31581
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82447
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3214
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88642
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51342
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14178
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78735
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50611
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.41807
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.46946
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.80838
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.28757
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.1447
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.99842
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.65579
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.838833
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.035336
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.246785
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.474897
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.717158
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.96641
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.653604
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.955923
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.29618
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.669927
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.058058
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.44271
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.863488
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32565
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83543
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34065
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9077
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53453
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16435
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81223
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.54054
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.45564
ä(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.50232
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.81487
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.12827
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.92385
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.8582
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.655035
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.838024
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.034467
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.24585
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.473889
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.718025
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.375925
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.654843
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.958498
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.300184
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.674336
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.066301
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.451706
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.873328
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33644
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84737
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3612
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92737
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55346
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18883
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83921
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57739
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.49586
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.53814
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.82882
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.07904
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.7912
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.58063
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.654461
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.837409
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.033808
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.245141
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.473124
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.119414
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.377472
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.65649
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.962615
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.304702
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.679248
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.075291
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.461496
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.884048
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34822
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86037
