¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(337.79, 7.13, 328.05) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 17.68894
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18475
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.57234
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.26453
(337.79, 7.13, 328.05) (312.99, 0.43, 306.34) (1.40, 1.43, 1.36) Tools 18.97062
(337.79, 7.13, 328.05) (312.99, 0.43, 306.34) (1.40, 1.43, 1.36) Tools 18.94801
(337.79, 7.13, 328.05) (312.99, 0.43, 306.34) (1.40, 1.43, 1.36) Tools 18.92915
(337.79, 7.13, 328.05) (312.99, 0.43, 306.34) (1.40, 1.43, 1.36) Tools 18.91401
(337.79, 7.13, 328.05) (312.99, 0.43, 306.34) (1.40, 1.43, 1.36) Tools 18.90257
(337.79, 7.13, 328.05) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 18.96717
(337.79, 7.13, 328.05) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 18.95708
(337.79, 7.13, 328.05) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 18.95069
(337.79, 7.13, 328.05) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 18.948
(337.79, 7.13, 328.05) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 18.949
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.640427
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.791548
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.952191
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.263671
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.648298
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.084697
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.584072
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.168933
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.879089
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.726531
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46899
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19811
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03891
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01895
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17573
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56141
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25115
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.35669
(337.79, 7.13, 328.05) (312.99, 0.43, 306.34) (1.40, 1.43, 1.36) Tools 19.77937
(337.79, 7.13, 328.05) (312.99, 0.43, 306.34) (1.40, 1.43, 1.36) Tools 19.75991
(337.79, 7.13, 328.05) (312.99, 0.43, 306.34) (1.40, 1.43, 1.36) Tools 19.74434
(337.79, 7.13, 328.05) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 19.1501
(337.79, 7.13, 328.05) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 19.14902
(337.79, 7.13, 328.05) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 19.15167
(337.79, 7.13, 328.05) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 19.15806
(337.79, 7.13, 328.05) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 19.1682
(337.79, 7.13, 328.05) (312.96, 1.79, 306.45) (1.58, 1.43, 1.55) Tools 19.18208
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.637202
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.788094
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.948551
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.279367
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.666071
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.104978
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.607345
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.151587
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.892245
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.74238
…(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46414
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19256
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03248
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0114
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16676
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.55058
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23779
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.33986
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.03075
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.634264
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.785008
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.949891
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.294773
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.683521
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.124898
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.622942
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.103958
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.904633
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.757309
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45934
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18703
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02605
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00388
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15784
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.53983
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.22451
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.32315
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.00902
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.631625
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.782238
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.963364
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.309925
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.700666
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.144454
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.58641
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.055896
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.871606
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.771236
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45454
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18151
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01966
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99643
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14894
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.52909
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21135
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.30652
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.98743
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.62934
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.779822
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.976568
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.3248
†(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.717494
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.163683
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.550308
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.007356
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.812581
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.78415
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44975
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17605
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01336
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98898
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14012
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.51847
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.19825
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.29002
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.96599
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.627358
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.777684
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.989494
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.339356
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.733978
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.162097
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.514562
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.958434
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.753135
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.748476
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44501
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17061
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00707
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98163
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13137
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.50787
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.18524
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.27362
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.94472
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.62568
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.775949
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.00215
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.353573
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.750119
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.130137
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.479258
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.909128
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.69336
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.805596
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44031
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16522
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00081
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97428
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.12265
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.49738
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.17231
ƒ(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.25735
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.92355
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.624324
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.774521
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.014518
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.3675
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.765915
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.098504
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.444293
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.859534
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.633217
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.801485
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43564
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15984
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99457
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.967
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11403
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.48695
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15947
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.24118
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.90258
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.623325
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.77341
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.026627
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.381142
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.756152
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.067167
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.409725
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.809603
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.572824
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.797425
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43099
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15452
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9884
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95976
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10543
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.47658
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.14672
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.22513
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.88174
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.622584
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.772666
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.038415
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.394432
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.727984
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.036209
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.375593
