¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Š (435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.638742
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.659594
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.638281
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.618391
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.599902
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.582797
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.567057
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.552665
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.539608
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.527875
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 8.084831
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.112114
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.349842
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.608195
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.789173
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.76038
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.733138
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.707417
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.683188
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.660429
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.639114
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.619221
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.60073
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.583622
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.56788
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.553487
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.54043
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.528694
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 8.085726
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.106349
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.34359
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.601371
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.791347
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.762545
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.735293
ˆ (435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.709564
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.685328
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.662562
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.64124
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.621341
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.602844
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.585732
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.569984
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.555586
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.542525
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.530786
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 8.088174
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.100632
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.33737
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.594625
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.794844
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.766028
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.738762
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.71302
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.688773
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.665994
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.644661
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.624752
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.606247
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.589125
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.57337
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.558965
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.545897
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.534152
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 8.092184
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.094925
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.331228
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.587915
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.79967
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.770833
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.743548
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.717789
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.693524
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.67073
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.649383
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.62946
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.610941
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.593807
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.578041
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.563627
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.55055
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.538797
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 8.097755
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.4327
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.089283
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.325112
 (435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.581267
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.805829
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.776966
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.749657
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.723875
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.699588
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.676774
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.655407
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.635467
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.616932
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.599783
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.584002
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.569575
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.556487
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.544724
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 8.104897
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 8.226231
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.083673
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.319041
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.574657
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.813324
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.784431
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.757093
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.731282
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.70697
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.684131
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.662741
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.642779
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.624225
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.607058
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.59126
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.576818
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.563715
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.551939
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.15206
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.84023
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.078104
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.312993
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.568094
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.822168
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.793237
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.765865
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.74002
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.715677
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.69281
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.671393
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.651405
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.632827
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.615638
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.599822
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.585361
À(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.572242
(435.41, 14.05, 300.03) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.560451
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.3801
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.73462
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.07259
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.307011
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.561574
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.838951
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.142258
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.475265
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.842413
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.252686
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.702268
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.20991
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.782503
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43314
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17883
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04183
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83032
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43534
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.41542
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.09826
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.63295
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.067111
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.301073
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.555113
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.831928
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.134552
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.466763
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.833041
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.238789
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.690656
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.196863
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.76771
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41631
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15945
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0193
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88933
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2695
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.26108
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9633
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.53517
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.08227
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.061692
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.295187
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.548725
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.824931
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.126922
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.139748
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.112012
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.085866
€ (435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.061283
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.038236
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.016704
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.996663
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.978092
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.960975
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.94529
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.931025
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.918165
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.83293
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.29344
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.66537
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.03874
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.056328
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.289347
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.542397
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.818011
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.119328
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.109308
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.081689
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.055655
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.031177
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.008228
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.986788
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.966833
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.948341
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.931295
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.915678
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.901473
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.888666
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70696
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.15993
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.26869
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.62661
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.050983
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.283606
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.536116
(435.41, 14.05, 300.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.811147
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.109615
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.080501
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.052995
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.027065
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 7.002686
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.979831
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.958477
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.938601
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.920186
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.903208
(435.41, 14.05, 300.03) (444.68, 7.47, 280.61) (2.03, 1.40, 1.93) Tools 6.887654
