¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.76874
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21454
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07478
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.77529
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.78047
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.7795
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.7924
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.80919
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.82987
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.564939
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.551894
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.539806
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.528663
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.518453
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.509166
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.542353
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.606459
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.673326
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.763366
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.906966
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.206599
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02248
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23013
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56769
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25943
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70003
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17612
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01922
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.79083
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.79604
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.79509
í(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.80802
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.82484
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.84556
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.716264
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.703116
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.690953
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.679763
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.669535
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.660258
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.651922
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.64452
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.65001
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.741341
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.883525
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.18962
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94695
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15157
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3662
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.228
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66625
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13972
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96404
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.81024
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.81547
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.81455
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.82752
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.84439
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.86515
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.8789
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.865665
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.853445
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.842228
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.832003
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.82276
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.814487
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.807179
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.800828
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.795428
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.860797
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.172211
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.874
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07566
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2872
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82712
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63429
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10525
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.90925
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.82349
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.82875
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.8379
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.05412
ÿ(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.040819
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.028565
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.017346
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.007152
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.99797
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.989794
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.982614
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.976424
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.971216
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.966987
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.154389
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80354
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00241
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21096
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42984
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60411
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07271
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85487
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.85065
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.85597
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.86516
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.243398
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.230057
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.217798
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.206609
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.196478
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.187397
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.179355
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.172345
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.166359
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.161392
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.15744
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.154498
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73554
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93172
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1374
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35326
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09582
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0421
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.46605
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.88175
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.448446
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.435099
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.422871
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.411752
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.401729
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.392792
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.384933
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.378142
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.372416
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.367747
ä(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.364131
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37773
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63296
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86351
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06648
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27939
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58325
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96323
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00379
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.9168
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.92221
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.671268
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.657959
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.64581
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.634809
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.624946
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.61621
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.608592
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.602086
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.596685
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.592383
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.993212
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22722
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47459
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73637
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99811
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20819
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42878
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37543
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56695
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.95583
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.96132
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.914222
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.901007
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.888995
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.878177
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.868539
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.860074
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.852772
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.846627
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.321908
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.639878
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.855155
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08229
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32223
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57593
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84462
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12954
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35734
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83881
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28496
ß(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.9989
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.00445
(418.77, 13.56, 326.34) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 6.187983
(418.77, 13.56, 326.34) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 6.32447
(418.77, 13.56, 326.34) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 6.468403
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.430628
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.547884
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.67018
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.797748
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.930877
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.126316
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.438314
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.722041
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.942618
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17547
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42159
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68204
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95802
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25091
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51436
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18115
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.04603
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.05166
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.06121
(418.77, 13.56, 326.34) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 6.115381
(418.77, 13.56, 326.34) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 6.248277
(418.77, 13.56, 326.34) (413.12, 8.15, 304.02) (1.79, 1.10, 4.04) Tools 6.53697
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.427055
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.544198
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.66636
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.793778
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.926829
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.065719
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.237955
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.558952
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.808016
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03415
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27305
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52566
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79322
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07689
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37817
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1248
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 15.55402
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 15.50756
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 15.46438
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 15.42443
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 15.38768
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 15.3541
(418.77, 13.56, 326.34) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 15.32364
