¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
®(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 18.89234
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 19.42171
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 19.37698
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 18.53917
(375.00, 9.70, 318.57) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 20.14195
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.141429
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.359127
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.562319
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.780338
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.014734
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.295428
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.613268
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.901832
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.214763
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.650507
(375.00, 9.70, 318.57) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 16.25927
(375.00, 9.70, 318.57) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 19.29914
(375.00, 9.70, 318.57) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 19.40601
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 19.47695
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 19.75801
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 19.76788
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 18.51164
(375.00, 9.70, 318.57) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 20.40533
(375.00, 9.70, 318.57) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 22.90949
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.149919
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.369918
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.573892
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.792744
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.028046
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.324017
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.642623
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.933581
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.249207
¹(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.651303
(375.00, 9.70, 318.57) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 16.18513
(375.00, 9.70, 318.57) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 19.70082
(375.00, 9.70, 318.57) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 19.72913
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 18.46702
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 18.33762
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 18.42059
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 18.73385
(375.00, 9.70, 318.57) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 20.70757
(375.00, 9.70, 318.57) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 23.21128
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.158411
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.381009
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.585767
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.805463
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.049044
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.352962
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.672632
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.966013
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.28444
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.652304
(375.00, 9.70, 318.57) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 16.12416
(375.00, 9.70, 318.57) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 20.12359
(375.00, 9.70, 318.57) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 20.06641
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 18.98656
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.24299
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.2037
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 19.01171
(375.00, 9.70, 318.57) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 21.09742
(375.00, 9.70, 318.57) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 23.52419
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.166933
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.392406
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.59795
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.818544
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.075901
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.382317
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.703263
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.999186
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.320431
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.6703
(375.00, 9.70, 318.57) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 16.06547
(375.00, 9.70, 318.57) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 20.60206
(375.00, 9.70, 318.57) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 20.5088
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.30799
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.50391
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.4615
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.15002
(375.00, 9.70, 318.57) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 21.50595
(375.00, 9.70, 318.57) (348.93, 1.47, 346.78) (1.16, 1.16, 6.53) Tools 23.90791
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.175481
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.404075
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.610447
¯(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.831969
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.103104
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.412018
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.734558
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.033036
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.3572
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.710356
(375.00, 9.70, 318.57) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 16.00905
(375.00, 9.70, 318.57) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 21.26384
(375.00, 9.70, 318.57) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 20.9771
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.54512
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.75971
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.75957
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.7236
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 20.35422
(375.00, 9.70, 318.57) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 22.66245
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.184006
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.416038
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.623251
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.845707
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.130604
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.442114
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.766479
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.067635
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.394787
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.751312
(375.00, 9.70, 318.57) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 15.95486
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.47972
(375.00, 9.70, 318.57) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 21.47158
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.6279
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.02345
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.54868
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.72742
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 20.63403
(375.00, 9.70, 318.57) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 23.012
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.192554
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.428276
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.636382
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.870968
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.158504
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.472602
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.799084
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.102934
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.433137
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.793162
(375.00, 9.70, 318.57) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 15.90286
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.68871
(375.00, 9.70, 318.57) (350.68, 0.49, 346.85) (1.16, 1.16, 6.53) Tools 22.00105
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.97833
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.77745
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.77604
«(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 17.99039
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 20.92418
(375.00, 9.70, 318.57) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 23.37543
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.20113
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.440885
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.649837
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.896817
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.186664
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.503477
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.8323
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.138968
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.472284
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.835894
(375.00, 9.70, 318.57) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 15.85303
(375.00, 9.70, 318.57) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 20.02237
(375.00, 9.70, 318.57) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.72127
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.37744
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.09033
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.04857
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.26443
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.8503
(375.00, 9.70, 318.57) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 23.75344
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.209685
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.453715
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.66362
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.923026
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.215204
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.534699
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.866262
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.17573
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.512292
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.904352
(375.00, 9.70, 318.57) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 15.80535
(375.00, 9.70, 318.57) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 20.77845
(375.00, 9.70, 318.57) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 20.90841
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.79938
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.41808
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.37549
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.55017
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.06546
(375.00, 9.70, 318.57) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 24.2862
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.21824
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.466854
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.679119
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.949455
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244073
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.566329
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.900845
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.213266
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.553115
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.98864
²(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.23019
(375.00, 9.70, 318.57) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 21.44616
(375.00, 9.70, 318.57) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 21.93265
(375.00, 9.70, 318.57) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.6314
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.77685
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.71819
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 18.84825
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.28806
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 23.02149
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.226835
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.48032
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.703737
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.976236
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.273301
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.598354
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.936146
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.251519
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.59479
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.074577
(375.00, 9.70, 318.57) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.2719
(375.00, 9.70, 318.57) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.2143
(375.00, 9.70, 318.57) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.3916
(375.00, 9.70, 318.57) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 19.96524
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.22817
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.07772
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.15936
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.51842
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 23.39574
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.23652
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.490532
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.728613
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.003305
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.302851
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.630728
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.972106
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.290588
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.637284
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.162202
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.3323
(375.00, 9.70, 318.57) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 20.10894
(375.00, 9.70, 318.57) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 20.0813
(375.00, 9.70, 318.57) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 20.58942
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.70663
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.45521
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.48428
(375.00, 9.70, 318.57) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 19.75685
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 23.78525
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.24705
