¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.986836
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.700877
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.839372
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.993453
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.165868
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.360055
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.580362
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.832387
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37061
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.30895
â(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.42923
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7478
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.37776
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.2516
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 21.61782
(422.65, 14.73, 249.45) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 22.43393
(422.65, 14.73, 249.45) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 22.68155
(422.65, 14.73, 249.45) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 22.67352
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.51415
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.50021
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.486906
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.474223
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.462145
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.464428
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.578246
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.703639
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.842435
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.996868
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.169701
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.364384
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.585292
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.838049
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.36905
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.31127
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.43263
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75035
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44113
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.39743
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 21.42851
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 22.74154
(422.65, 14.73, 249.45) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 22.76582
(422.65, 14.73, 249.45) (387.56, 7.97, 240.98) (1.19, 1.64, 1.18) Tools 22.75771
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.53003
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.515992
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.502595
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.489822
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.47766
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.466752
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.5808
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.706457
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.845562
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.000355
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.173614
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.368806
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.590328
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.843835
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.36784
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.31398
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.43884
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75358
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.47245
‚ (422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.67443
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 21.2466
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.21683
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.18988
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.16711
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.14851
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.13406
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.12375
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.11756
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.546617
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.532478
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.518983
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.506117
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.493866
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.482215
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.583405
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.709333
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.848752
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.003914
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.177608
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.373319
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.595468
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.849742
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37013
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.31706
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.44479
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.75752
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48709
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 18.10721
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 17.99469
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 17.96831
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 17.94551
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 17.92632
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 17.91061
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 17.8985
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 17.94883
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.94482
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.563933
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.549687
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.536091
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.523127
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.510783
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.499044
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.586061
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.712265
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.852005
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.007543
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.181682
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.377925
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.600714
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.855771
ö(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37308
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.32172
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.4512
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76211
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50242
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 18.02884
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 17.93774
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 17.91322
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 17.89227
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 17.87483
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 17.86093
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 17.85054
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 17.89384
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.23845
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.582001
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.567644
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.553941
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.540875
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.528434
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.516602
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.588768
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.715255
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.855321
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.011244
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.185837
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.382621
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.606066
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.861924
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37635
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.33009
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.45807
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7674
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51845
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 18.23624
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 18.06508
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 18.04256
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 18.02368
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 18.00839
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 17.9967
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 17.98853
(422.65, 14.73, 249.45) (390.99, 7.93, 244.21) (0.81, 2.16, 0.81) Human 18.06542
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.600842
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.586368
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.572554
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.559383
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.54684
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.534911
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.591526
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.718299
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.8587
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.015015
Ü(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.19007
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.387409
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.611521
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.868197
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37994
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.33815
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.46539
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.77342
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.52894
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.63644
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.5001
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 22.57321
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.620483
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.605888
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.591958
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.578675
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.566026
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.553997
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.594333
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.7214
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.862142
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.018856
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.194385
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.392287
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.617081
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.874593
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.3852
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.34466
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.47281
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.77894
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.52129
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.6075
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.50923
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 23.04005
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.640948
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.626227
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.612175
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.598778
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.586018
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.573883
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.597191
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.724557
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 2.865646
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.022767
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.198777
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.397256
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.622746
(422.65, 14.73, 249.45) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.881109
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39323
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.35155
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.47372
