¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ú(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.578792
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.581891
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.576962
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.572741
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.569227
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.566413
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.564298
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.56288
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.562157
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.562129
(441.88, 14.38, 268.23) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 3.562795
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.857579
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.077278
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.315331
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.574171
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.856486
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.16563
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.480317
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.795664
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.179387
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.604623
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.078362
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.571495
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.981554
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43048
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92393
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.37265
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.34821
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.32607
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.30622
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.28864
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.27331
Ğ(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.2602
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.24933
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.24066
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.23419
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.22992
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.22784
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.22795
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.853431
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.072761
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.310474
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.568862
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.850698
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.159278
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.475286
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.812818
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.198314
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.625668
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.101838
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.553054
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.961464
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40848
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89973
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.37539
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.35094
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.3288
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.30894
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.29136
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.27602
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.26291
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.25203
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.24336
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.23689
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.23261
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.23053
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.23064
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.849349
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.068354
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.305688
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.563645
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.844999
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.153018
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.479131
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.830218
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.217565
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.643695
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.117861
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.539878
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.948454
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39571
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88728
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.38035
Ó(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.35589
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.33374
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.31388
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.29628
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.28093
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.26782
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.25693
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.24825
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.24178
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.2375
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.23542
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.23553
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.845334
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.063997
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.301098
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.559065
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.840444
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.148503
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.482089
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.830392
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.214367
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.639727
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.113439
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.534311
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.942369
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38904
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87996
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.38755
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.36307
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.3409
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.32102
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.30342
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.28806
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.27493
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.26404
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.25535
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.24888
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.24459
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.24251
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.24261
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.842823
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.061666
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.29878
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.556571
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.837707
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.145514
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.479349
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.827371
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.211066
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.636058
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.106143
Ğ(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.52948
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.937128
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3833
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91416
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.39699
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.37249
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.3503
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.3304
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.31277
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.2974
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.28426
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.27335
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.26466
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.25817
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.25389
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.25179
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.2519
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.840926
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.059612
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.296555
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.554105
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.835022
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.142576
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.476765
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.824549
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.207917
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.632591
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.098234
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.525409
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.93267
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37844
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96638
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.40867
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.38414
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.36193
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.34201
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.32436
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.30896
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.29581
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.28489
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.27618
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.26968
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.26539
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.26329
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.26339
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.839092
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.057604
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.294362
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.551754
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.832449
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.139754
Ô(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.474396
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.821947
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.205065
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.629391
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.090702
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.522094
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.929083
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3745
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01956
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.42262
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.39805
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.37581
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.35586
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.33818
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.32277
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.30959
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.29865
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.28993
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.28342
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.27912
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.27702
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.27711
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.837312
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.055669
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.292318
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.549511
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.829983
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.137064
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.472235
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.819565
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.20242
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.626479
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.083484
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.519541
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.926271
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37142
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07374
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.43884
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.41423
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.39195
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.37196
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.35426
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.33882
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.32562
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.31466
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.30593
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.2994
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.29509
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.29298
(441.78, 14.33, 268.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.29307
