¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
„(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.057134
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.278902
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.681131
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.131814
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.637437
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.226056
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.911828
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.71612
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.67149
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69553
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09527
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.47075
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.43829
ê(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.40877
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.38218
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.35847
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.33764
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.31965
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.30449
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.29215
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.28261
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.27586
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.32435
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.529175
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.751014
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.995367
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.266562
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.557719
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.885439
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.247571
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.645974
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.092281
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.592689
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.173453
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.849591
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64162
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.58171
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58192
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95709
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64576
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.33969
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.31045
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.28411
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.26064
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.24002
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.22223
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.20725
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.19507
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.18567
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.17904
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.308558
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.512038
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.732389
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.974923
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.244133
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.532886
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.857666
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.216574
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.611193
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.053211
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.548492
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.12146
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.788138
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.56814
ò(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.49265
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47036
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82169
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.47792
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.2452
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.21622
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.19013
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.16689
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.14647
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.12887
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.11406
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.10202
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.09275
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.08624
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.292893
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.495049
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.713929
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.954644
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.221893
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.5083
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.830141
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.18591
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.576791
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.014604
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.504846
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.070073
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.727467
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.4957
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.40498
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36086
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68895
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.31375
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.1547
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.12598
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.10012
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.07709
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.05688
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.03945
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.0248
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.01291
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.00377
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.99736
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.27736
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.478209
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.695636
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.934526
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.19984
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.483963
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.802864
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.155581
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.542766
ï(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.976461
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.461749
