¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
À(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.28455
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.251612
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.754507
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.324595
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.947221
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66036
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.4832
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.4502
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.42122
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.39979
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.38739
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.29175
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.28065
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.27157
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.49247
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.18741
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.929503
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.10873
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.302552
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.512779
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.74153
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.439673
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.72507
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.038373
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.383789
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.779872
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.223689
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.723004
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.288783
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.909559
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61703
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.47699
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.44039
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.40895
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.3873
½(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.37535
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.28986
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.27876
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.26968
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.37495
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.18535
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.18203
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.920991
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.099541
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.292608
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.501982
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.729768
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.978445
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.70821
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.01984
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.363318
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.755331
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.196176
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.691952
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.253494
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.872561
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57443
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.47286
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.43659
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.40615
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.38037
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.37244
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.28997
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.27887
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.26979
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.26273
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.34668
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.18215
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.181
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.912584
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.090468
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.282789
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.491324
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.71816
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.965755
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.691626
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.001596
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.343173
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.731121
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.16905
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.661364
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.218748
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.836171
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53262
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.48026
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.44396
¼(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.41255
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.39136
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.37919
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.29209
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.28099
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.27191
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.26485
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.34902
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.18331
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.18434
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.904282
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.081511
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.273097
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.480804
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.706703
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.953237
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.675282
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.983623
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.323323
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.70722
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.142288
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.63122
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.184489
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.800439
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49158
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.48977
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.45679
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.42862
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.40732
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.39395
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.29622
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.28511
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.27603
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.26897
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.35357
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.18882
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.896087
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.072669
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.26353
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.470424
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.695403
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.940889
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.204622
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.96594
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.303821
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.683683
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.115921
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.601495
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.150771
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.765338
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45125
µ(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29722
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22384
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.4475
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.42862
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.41377
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.30237
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.29125
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.28216
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.27509
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.36034
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.16314
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.887998
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.063944
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.254093
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.460184
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.684257
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.927742
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.189072
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.948535
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.284649
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.660447
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.089943
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.572239
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.117586
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.730834
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41201
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25346
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1729
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.57374
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.55609
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.54055
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.31053
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.29941
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.29031
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.28323
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.36934
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.15769
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.880019
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.055336
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.244784
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.450085
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.673267
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.913744
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.173757
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.931392
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.265731
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.637586
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.064359
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.543427
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.084924
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.696996
¬(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37525
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21045
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12313
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.5842
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.56653
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.55098
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.32073
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.30959
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.30048
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.29339
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.31355
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.16772
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.872146
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.046849
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.235605
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.440129
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.662431
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.899959
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.158674
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.442433
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.247168
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.61503
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.039136
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.515059
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.052746
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.6638
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3391
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16821
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07457
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.59675
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.57906
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.56349
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.33296
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.32181
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.31268
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.30559
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.19869
(397.65, 14.25, 246.51) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.17976
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.864384
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.038479
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.226554
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.430314
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.650716
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.886384
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.143828
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.426129
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.228912
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.594741
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.014306
(397.65, 14.25, 246.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.487113
