¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ÿ(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.78568
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.036151
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.399582
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.811781
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.279426
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.80944
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.410114
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.10301
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.88354
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.79063
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.86541
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.15883
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.74478
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.7679
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.9319
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.44792
²(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.38891
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.52651
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.33259
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.08371
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.07653
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.41981
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.252939
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.446248
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.655474
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.88261
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.129998
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.400412
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.697149
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.024173
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.38629
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.797037
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.263047
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.790847
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.388953
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07856
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.85461
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.75661
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.82484
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.10962
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.68387
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.69157
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.82234
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.49433
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.42447
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.55327
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.22205
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 22.95222
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 22.9415
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.24842
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.246529
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.439325
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.647974
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.874458
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.121109
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.390681
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.686454
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.012366
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.373189
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.782476
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.246868
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.772485
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.368069
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05444
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82614
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.72315
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.78496
µ(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.06128
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.62408
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.61664
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.71504
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.54552
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.46454
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.5844
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.11729
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 22.82664
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 22.81606
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.08439
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.240206
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.432495
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.640574
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.866418
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.112342
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.381086
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.67591
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.000727
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.360278
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.768096
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.230888
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.754354
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.34746
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.03065
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.79813
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.69024
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.74576
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.01381
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.5654
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.54437
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.60995
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.60157
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.50915
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.61996
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.01817
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 22.71085
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 22.73315
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 22.92751
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.233969
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.42576
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.633279
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.858491
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.1037
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.371629
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.66552
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.989261
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.347559
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.753912
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.215111
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.736456
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.327127
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00718
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77058
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.6579
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.70725
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.96718
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.50782
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.47586
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.09922
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.66253
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.55835
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.65996
(392.24, 7.52, 358.25) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 24.81918
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.66028
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.68096
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.227821
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.419117
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.626087
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.850678
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.095183
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.36231
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.655281
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.977964
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.335033
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.740076
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.199534
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.718791
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.30707
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.984036
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.74349
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.6261
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.66941
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.92141
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.45132
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.40859
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.00509
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.72845
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.61219
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.70447
(392.24, 7.52, 358.25) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 24.79901
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.22176
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.412574
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.618999
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.84298
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.086792
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.353131
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.645199
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.966838
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.322699
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.726418
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.184161
”(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.701363
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.287293
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.961226
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.71686
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.59486
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.63225
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.87648
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.39592
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.34257
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.91296
(392.24, 7.52, 358.25) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 24.63796
(392.24, 7.52, 358.25) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 24.37333
(392.24, 7.52, 358.25) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 24.38405
(392.24, 7.52, 358.25) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 24.78352
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.215789
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.406126
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.612019
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.835396
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.078528
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.344091
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.635271
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.955888
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.31056
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.712941
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.168994
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.684171
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.267794
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.938744
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69069
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.56417
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.59577
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.83239
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.34159
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.27777
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.8228
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.67367
(392.24, 7.52, 358.25) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 24.3951
(392.24, 7.52, 358.25) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 24.39729
(392.24, 7.52, 358.25) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 24.77269
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.209907
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.399776
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.605143
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.827929
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.070392
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.335192
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.625499
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.945108
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.298614
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.699641
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.154031
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.667214
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.248575
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.916593
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.66498
