¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.794974
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.756119
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.749832
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.743936
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.738424
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.73329
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.728529
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.724135
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.720104
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.716431
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.713115
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.972056
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.95643
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.941444
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.927077
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.913307
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.900116
¡ (377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.887488
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.875402
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.863846
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.852804
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.842261
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.832205
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.822625
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.813506
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.804839
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.796614
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.788821
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.781451
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.774496
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.767947
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.761797
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.756041
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.750669
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.745679
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.741065
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.736819
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.732941
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.729421
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.003933
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.987563
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.971868
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.956827
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.942414
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.928612
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.915398
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.902753
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.890661
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.879108
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.868074
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.857548
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.847516
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.837964
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.828881
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.820256
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.812079
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.804338
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.797027
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.790134
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.783654
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.777579
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.7719
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.766614
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.761711
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.757189
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.753043
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.749266
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.045683
¡ (377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.028164
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.011388
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.995326
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.979947
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.965232
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.95115
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.937684
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.924811
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.912513
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.900773
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.889571
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.878894
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.868727
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.859054
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.849867
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.841149
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.832892
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.825084
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.817716
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.810779
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.804263
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.798163
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.79247
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.787176
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.782279
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.777769
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.773642
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.105861
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.086054
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.067181
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.049186
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.032019
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.015643
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.000019
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.985112
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.970891
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.957326
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.944396
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.932075
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.920341
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.909174
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.898558
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.888473
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.878905
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.869839
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.861262
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.853162
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.845526
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.838343
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.831606
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.825302
É(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.819426
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.813968
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.808923
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.804281
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.899611
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.214462
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.179061
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.150456
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.125365
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.102654
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.081766
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.062378
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.044266
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.027277
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.011297
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.996237
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.982025
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.9686
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.955917
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.943929
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.932605
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.921911
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.911816
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.9023
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.893341
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.884916
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.877011
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.869607
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.862692
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.856253
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.850275
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.844755
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.907305
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.018914
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.13635
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.261712
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.395795
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.539501
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.693868
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.860084
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.039521
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.232814
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.442195
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.670183
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.919312
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.194086
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.494229
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.821135
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.054932
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.028383
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 2.008543
ß(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.991817
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.977114
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.963924
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.951959
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.941024
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.930997
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.921779
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.913309
(377.00, 16.36, 288.71) (382.98, 8.54, 305.30) (0.81, 2.16, 0.81) Human 1.905523
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.91521
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.026274
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.144186
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.270068
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.404723
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.549062
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.704132
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.871128
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.051392
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.245252
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.45569
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.684875
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.935765
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212498
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.512064
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.840852
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.206088
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.613143
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.070273
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.588105
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.847808
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56741
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40283
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38432
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55356
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96985
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.922776
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.033868
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.152269
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.27869
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.413938
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.558933
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.714728
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.882535
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.063282
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.258114
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.46965
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.700079
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.953098
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.231406
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.530579
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.861331
Â(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.228858
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.637668
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.098336
(377.00, 16.36, 288.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.619933
