¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‹(399.06, 12.61, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.46765
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.207816
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.530987
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.8861
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.278072
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.493158
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.529348
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.567492
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.607659
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.649914
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.694299
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.745938
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.804491
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.865511
º(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.929173
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.99553
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.064639
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.136623
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.211572
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.289548
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.370745
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.455228
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.543103
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.634568
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.729672
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.828621
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.931563
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.649635
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.921134
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.217201
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.541319
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.906132
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.310687
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.566373
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.612919
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.661609
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.712576
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.765895
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.82158
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.879741
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.940397
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.003691
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.069641
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.138368
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.20993
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.284479
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.362075
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.442816
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.526861
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.614311
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.705272
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.799915
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.898349
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00078
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10563
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.666504
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.946918
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.253462
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.589836
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.960541
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.371088
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.693692
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.742044
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.792707
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.845717
·(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.901069
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.95892
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.019267
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.082218
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.147852
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.216255
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.287486
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.361698
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.438972
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.519354
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.603056
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.690121
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.780739
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.874959
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.973012
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07502
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17193
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26948
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.703209
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.98825
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.298757
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.639686
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.015634
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.43224
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.826282
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.876656
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.929384
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.984481
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.042053
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.102142
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.164833
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.230207
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.298377
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.36937
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.443296
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.520319
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.600464
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.683855
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.77066
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.860975
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.954905
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05265
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1501
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24322
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34011
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44085
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.739557
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.030044
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.344563
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.690069
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.071379
¸(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.494235
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.964424
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.016952
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.071845
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.129218
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.189108
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.251628
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.316797
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.38479
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.455596
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.529366
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.606163
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.686131
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.769373
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.855954
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.946059
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03983
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13736
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22702
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31957
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41585
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51601
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62019
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.776186
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.07223
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.390809
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.741096
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.127839
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.557538
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.056061
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.163254
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.220479
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.280252
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.342625
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.407736
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.475549
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.546262
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.619933
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.696655
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.776514
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.859633
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.94617
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0362
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12984
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22053
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30902
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40104
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49683
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5965
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70015
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80801
µ(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.813141
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.114837
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.437584
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.792626
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.184924
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.622863
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.129534
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.315938
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.375651
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.437956
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.50298
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.570783
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.64149
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.715128
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.791832
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.871674
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.954797
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04133
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13134
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22338
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30801
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39612
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4878
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58321
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6824
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7857
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89309
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00482
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.850359
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.156536
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.484852
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.844768
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.242699
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.688995
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.203952
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.47531
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.537675
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.602744
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.670581
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.741335
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.815022
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.891805
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.971745
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05493
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14155
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23164
(399.06, 12.62, 328.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31633
