¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.481483
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.09659
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.00018
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 10.96118
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.05879
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.16035
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.26602
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.37594
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.49029
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.607667
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.027734
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.492848
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.01466
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15047
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79099
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4916
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.48088
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.46848
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.1724
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.13948
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.10891
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.10728
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 12.10472
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 12.27136
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.79212
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.0896
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.07679
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.06615
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.05769
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.06663
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.13676
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.01024
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.14778
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.25102
í(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.35842
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.47015
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.58639
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.616629
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.03764
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.503855
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02816
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16637
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.60135
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.54743
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.50022
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.46237
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.21729
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.18424
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.15355
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.14521
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.68871
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.71875
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.75123
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.78621
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.70876
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.59488
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.48542
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.3802
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.27907
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.17739
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.24038
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.34538
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.45461
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.56824
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.68645
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.625293
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.04722
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.522041
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.0413
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61246
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.6409
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.58206
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.5316
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.4948
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.26475
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.23156
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.20075
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.18314
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.64752
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.62257
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.59998
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.57973
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.56181
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.54618
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.63895
ë(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.53107
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.42739
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.32274
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.33672
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.44357
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.55472
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.67034
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.79126
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.633658
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.05647
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.541714
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.05409
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6268
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.68756
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.62554
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.5738
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.53644
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.31482
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.28149
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.25054
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.22195
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.69931
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.67426
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.65157
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.63124
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.61325
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.59756
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.58417
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.57306
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.58203
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.47424
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.43693
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.54571
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.65888
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.7766
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.90305
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.641719
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.065388
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.55285
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.06651
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64074
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.74556
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.68224
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.62959
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.59085
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.36755
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.33407
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.30299
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.27427
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.75387
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.7287
è(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.48017
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.6855
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.66742
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.65167
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.63822
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.62707
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.61821
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.63221
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.54116
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.65197
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.76724
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.88717
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 12.01939
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.649477
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.073965
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.563655
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07856
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6627
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.80992
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.75166
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.69765
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.65762
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.42301
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.38938
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.35815
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.3293
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.81124
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.78596
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.53277
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.74256
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.7244
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.70858
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.69508
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.68388
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.67498
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.66836
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.66402
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.76249
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.87999
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 12.00521
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 12.14047
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.656922
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.082201
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.574123
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09024
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67632
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30705
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.82851
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.77724
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.73694
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.48127
Ü(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.44747
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.41609
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.38709
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.8715
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.8461
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.8231
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.8025
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.78425
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.4703
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.75479
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.74354
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.7346
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.72796
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.7236
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.72154
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.72449
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 12.11906
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 12.26649
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.664056
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.10913
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.584247
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.10154
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.68959
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.322
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63636
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43088
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.98682
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.54237
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.5084
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.47686
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.44772
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.93472
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.90919
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.88608
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.86536
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.84703
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.39794
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.81742
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.80613
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.79714
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.79047
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.78611
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.78404
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.78427
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 11.7868
(379.66, 15.50, 276.32) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 12.15457
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.670874
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.127855
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.594026
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11245
(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70249
ê(379.66, 15.50, 276.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.33653
