¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
÷(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.5818
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.865429
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56959
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38439
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33793
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46865
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.69446
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.67175
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.65158
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.63394
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.6188
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.60616
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.59599
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.58829
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.58306
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.801379
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.965679
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.142745
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.333851
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.540832
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.765694
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.44847
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.733164
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.045543
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.389874
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.771173
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.195665
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.670962
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.206714
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.815047
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51167
›(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3171
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25881
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37429
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71623
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.6789
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.65872
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.64106
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.62591
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.61326
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.60308
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.59537
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.59013
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.79069
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.954191
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.130344
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.320452
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.526311
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.168911
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.427627
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.710348
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.020494
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.362224
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.740519
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.161433
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.632577
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.163362
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.765687
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45496
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25129
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18147
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28215
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.60182
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.68854
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.66834
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.65066
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.6355
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.62282
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.61263
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.60491
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.59966
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.780167
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.942881
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.118137
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.307268
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.914022
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.150102
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.407119
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.687919
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.995867
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.335059
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.710423
¢(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.127893
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.594941
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.120861
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.717316
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39945
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18689
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10588
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19224
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47999
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.70069
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.68046
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.66276
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.64756
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.63487
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.62466
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.61692
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.61166
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.769807
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.93175
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.106127
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.40822
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.896977
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.131626
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.386966
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.665895
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.971701
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.308389
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.680861
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.094971
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.558033
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.079187
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.669941
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34507
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12384
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03202
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10441
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36126
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.71535
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.69508
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.67735
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.66213
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.64941
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.63918
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.63142
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.62614
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.759612
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.920797
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.094312
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.66526
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.880238
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.113442
®(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.367183
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.644239
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.947927
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.282206
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.651853
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.062641
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.521812
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.038346
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.623506
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29183
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06222
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95984
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01872
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25842
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.73254
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.71223
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.69446
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.67921
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.66646
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.6562
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.64843
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.64312
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.749581
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.910023
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.452322
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.650035
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.86374
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.095548
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.347699
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.622932
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.924562
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.256486
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.62335
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.030926
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.486335
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.998288
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.578041
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23974
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00198
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88929
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93506
(342.28, 7.24, 370.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16527
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.75227
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.73192
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.71411
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.69882
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.68603
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.67575
(342.28, 7.24, 370.07) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 12.66794
