¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ø(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.15926
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.9847
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.589363
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28347
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33577
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83872
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.34648
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1291
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.4787
Ç(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.84641
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.23761
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.78809
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.66129
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.901357
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.232471
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.598473
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.005154
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.466427
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.999549
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.606375
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30667
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37404
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90345
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43934
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25558
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.61077
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.98449
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.41363
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.82407
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.908525
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.240357
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.607242
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.014921
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.479128
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.014003
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.622891
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34001
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41074
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96481
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.52753
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.38628
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.74731
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.12727
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.97901
(381.89, 13.86, 260.99) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 24.95668
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.915493
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.248014
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.615746
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.024427
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.491467
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.028004
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.638922
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37237
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44582
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02264
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.61083
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.52137
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.88848
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.40324
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.922183
ª(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.255468
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.623973
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.033616
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.503433
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.041563
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.654442
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40365
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47922
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07688
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.68904
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.66094
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.03438
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.928724
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.262632
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.63193
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.042483
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.514942
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.054649
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.669406
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4338
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51091
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12739
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76202
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.80514
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.38496
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.470523
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.269587
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.639651
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.051092
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.526093
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.067316
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.683908
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46288
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54093
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17404
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82958
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.95408
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.94946
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.475717
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.781372
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.64708
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.05936
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.536833
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.079498
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.697847
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49081
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56912
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21681
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89159
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.52436
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.73266
Ç(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.480727
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.786887
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.132555
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.067364
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.547223
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.091197
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.711283
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51754
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59551
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25559
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.7338
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.5604
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.84702
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.485552
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.792129
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.138958
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.524662
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.961617
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.102747
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.724129
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54309
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62009
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29025
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.98879
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.59724
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.96169
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.49019
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.797657
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.145096
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.531514
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.970196
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.477421
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.281672
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56744
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.63306
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.0743
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.02504
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.63489
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.07664
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.494635
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.802948
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.150971
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.538068
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.978378
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.486714
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.066129
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.751723
(381.89, 13.86, 260.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.65481
