¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ê(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.73151
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.58008
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.6884
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.20978
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.60616
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.7852
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.72226
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.69133
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.01595
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.83966
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.67023
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.50738
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.35084
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.791973
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.00849
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.242188
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.496118
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.772961
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.064962
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.388412
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.755352
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.145286
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.590091
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.083988
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.62625
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.23253
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91669
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.67301
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.56617
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.60434
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72508
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2487
ş(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.71483
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.90197
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.83177
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.80048
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.13127
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.16004
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.15332
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.14957
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.14877
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.791696
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.008297
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.24198
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.495891
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.772712
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.065567
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.388776
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.755753
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.147268
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.591702
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.08779
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.6304
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.24042
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.92408
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.69284
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.58408
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.62932
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76269
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.28881
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.82815
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.02373
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.94597
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.9143
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.76048
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.75121
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.74481
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.7413
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.24997
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.791479
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.008177
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.241849
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.495749
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.772558
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.066324
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.389249
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.756277
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.149451
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.593473
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.091846
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.634826
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.24872
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.93185
Œ(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71342
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.60259
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.46412
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.79911
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.14584
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.94625
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.07694
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.06501
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.03294
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.81079
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.64926
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.49402
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.75626
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.36434
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.79132
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.008128
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.241796
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.495692
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.772495
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.067229
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.389832
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.756921
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.151835
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.595407
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.096152
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.639528
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.25604
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.94
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.73474
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.6217
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48305
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.8345
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.25047
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.06932
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.37238
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.21691
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.77167
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.92876
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.7647
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.60703
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.86639
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.48374
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.79122
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.008152
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.241821
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.495718
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.772524
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.068284
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.390522
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.757684
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.154416
ç(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.597502
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.10071
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.6445
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26169
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.94852
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.75109
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.6414
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.51293
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87095
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.41681
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.19749
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.50285
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.34602
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.90375
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.05165
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.88493
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.7247
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.98123
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 15.92643
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.791178
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.008246
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.241923
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.49583
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.772646
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.069489
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.39132
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.758567
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.157197
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.599757
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.104034
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.649749
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26765
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95741
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.76136
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.66171
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.54745
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.90848
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46206
(406.28, 14.92, 311.53) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 16.33096
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.77269
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.99676
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.791195
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.008413
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.242105
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.496027
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.772861
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.070843
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.392229
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.759572
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.160179
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.602177
Ï(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.106752
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.655272
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27391
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.96668
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.77207
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4432
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.5827
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94703
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50862
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.45615
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.84477
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.07719
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.791272
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.008651
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.242364
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.496308
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.773169
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.072347
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.393245
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.760696
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.163359
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.604755
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.109652
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.661065
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.28049
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97632
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.78321
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45611
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61694
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.98665
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.55646
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.49546
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.92039
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.16174
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.791404
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.008958
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.242698
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.496674
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.773566
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.074
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.394369
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.761939
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.166738
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.607492
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.112732
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.667133
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.28738
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.98634
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.79478
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46862
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64192
Ü(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00853
(406.28, 14.92, 311.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.60128
