¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
• (422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.833946
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.750462
 (422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.824683
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 4.101021
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.824033
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.812534
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 5.243381
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 5.782711
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.64707
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.53305
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.94877
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.87659
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.85178
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.83185
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.81679
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.80658
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.146025
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.222586
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.305279
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.394847
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.492162
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.598249
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.714323
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.743371
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.728554
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.714576
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.701422
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.689076
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.677527
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.825483
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 4.101943
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.814779
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.803306
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 5.244898
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 5.784557
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.67265
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.53896
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.9592
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.80464
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.77994
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.76011
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.74512
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.73498
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.146294
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.222877
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.305593
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.395188
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.492533
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.598654
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.714766
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.672503
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.658
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.644319
’ (422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.631447
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.619366
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.608068
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.826418
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 4.10302
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.806499
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.799674
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 5.246669
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 5.786716
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.70142
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.53719
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.73793
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.71332
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.69357
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.67867
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.66858
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.146603
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.223209
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.305952
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.395577
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.492957
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.599116
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.715273
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.604964
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.59076
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.577362
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.564755
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.552928
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.586345
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.827488
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 4.104253
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 4.425094
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 4.943431
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 5.248697
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 5.789186
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.73119
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.56491
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.67637
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.65186
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.63219
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.61735
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.60732
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.14695
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.223583
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.306357
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.396015
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.493433
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.599636
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.715842
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.540548
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.526627
€ (422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.513497
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.501144
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.489557
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.5874
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.828692
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 4.105641
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 4.426711
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 5.745406
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 5.728204
(422.65, 14.73, 249.45) (401.53, 7.70, 251.86) (1.44, 1.43, 1.40) Tools 5.791965
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.76197
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.5786
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.61992
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.59549
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.5759
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.56112
(422.65, 14.73, 249.45) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 24.55114
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.147336
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.223999
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.306806
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.396502
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.493963
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.600214
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.716476
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.479064
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.465412
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.452538
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.440427
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.429066
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.588571
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.830029
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 4.107183
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 4.428507
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.74997
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.11516
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.75097
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.77976
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.59384
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.147759
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.224456
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.3073
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.397038
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.494546
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.600851
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.717173
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.420341
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.406946
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.394314
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.382432
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.377511
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.589861
ß(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.831502
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 4.108881
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 4.430484
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.76686
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.13609
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.76945
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.80101
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.6106
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.148222
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.224955
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.307839
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.397623
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.495182
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.601545
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.378133
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.364217
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.351065
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.338665
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.327002
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.378753
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.591268
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.833109
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 4.110733
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 4.432643
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.78425
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.15327
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.78172
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.82329
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.62893
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.148723
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.225495
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.308424
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.398257
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.495871
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.602297
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.324215
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.310545
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.297626
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.285446
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.273991
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.380099
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.592793
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 3.834851
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 4.11274
(422.65, 14.73, 249.45) (402.88, 7.70, 253.14) (1.94, 1.43, 1.94) Tools 4.434982
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.80216
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.17173
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.79337
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.84659
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.63556
(422.65, 14.73, 249.45) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 2.149263
