¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‡(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.777674
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.51244
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.720279
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.945577
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.191482
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.505803
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.855136
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.24561
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.684843
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.182487
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.36628
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.803393
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.642009
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69899
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.04969
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.93323
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.27907
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.82385
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.697944
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.838716
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.989173
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.150348
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.324184
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.516733
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.72491
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.950612
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.208248
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.524404
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.875826
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.268805
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.711018
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.212228
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.31681
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.81233
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.668534
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69496
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.01428
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.88215
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.0502
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.42735
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.703212
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.844325
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.995166
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.156743
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.330198
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.521286
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.729817
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.955941
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.225304
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.543297
ƒ(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.896901
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.292432
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.73769
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.241498
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.269294
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.821449
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.693355
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69116
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.01513
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.83171
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.91698
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.51968
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.70867
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.850131
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.001402
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.163437
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.337355
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.526114
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.735035
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.961594
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.242658
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.56251
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.918344
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.316471
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.761779
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.199522
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.224418
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.830749
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.704604
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.68756
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.0163
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.78191
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.84654
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.30741
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.714364
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.856209
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.00787
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.170348
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.34481
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.53256
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.740509
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.969609
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.260273
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.582044
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.939593
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.336327
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.782858
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.141405
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.181513
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.840227
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.716073
ˆ(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.71588
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.01779
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.73273
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.77303
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.10076
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.720211
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.862483
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.014596
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.177527
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.35252
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.540851
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.746292
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.985832
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.278182
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.599977
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.956545
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.355368
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.804324
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.085671
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.199094
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.860115
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.727761
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.75044
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.01894
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.70178
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.69537
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.89974
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.726346
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.868981
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.021498
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.18497
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.360498
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.549462
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.753353
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.002213
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.293342
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.615493
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.973844
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.374769
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.826229
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.032254
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.230756
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.898769
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.739668
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78565
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.01522
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.70455
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.61901
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.73736
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.732622
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.875713
Œ(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.028697
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.192665
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.368763
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.55832
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.762967
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.015131
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.307557
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.631262
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.991459
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.394514
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.848512
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.981084
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.262931
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.937158
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.751791
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8215
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.0255
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.70775
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.544
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.58103
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.71436
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.739139
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.882676
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.036135
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.20063
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.377306
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.567516
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.774487
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.028246
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.322042
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.647357
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.009366
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.414618
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.871211
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.943271
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.295619
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.97549
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.771171
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.84626
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.07066
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.71136
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.47807
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.45355
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.57811
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.745866
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.889839
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.043814
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.208843
(409.10, 13.29, 328.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.386119
