¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
œ (392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.73827
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.575298
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.609475
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.664511
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.762026
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.822877
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.798753
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.775795
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.753984
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.733294
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.713701
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.695187
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.67773
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.661304
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.645905
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.631504
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.618095
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.605655
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.594191
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.583669
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.57409
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.570166
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.578248
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.599391
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.636769
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.699067
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.829315
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.865555
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.840944
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.81752
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.795247
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.774117
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.754101
  (392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.735178
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.717317
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.700521
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.684752
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.669996
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.656239
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.643472
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.631683
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.620852
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.610981
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.606697
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.615913
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.640225
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.684605
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.766382
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.933719
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.908271
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.884046
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.861004
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.839123
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.818401
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.798784
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.780262
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.762819
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.746436
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.731087
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.716767
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.703455
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.691123
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.679798
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.669418
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.664538
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.676231
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.707959
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.772714
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 5.066729
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 5.038564
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 5.011762
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.986319
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.962152
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.939256
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.91761
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.897137
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.877836
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.859689
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.842666
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.826759
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.811905
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.798124
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.78539
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.77368
“(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.767414
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.788578
(392.89, 14.62, 307.56) (409.36, 8.56, 315.57) (0.81, 2.16, 0.81) Human 4.868797
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.366712
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.221897
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27349
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63687
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86975
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88155
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.80581
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.12701
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.09923
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.23444
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.5548
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.06454
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.70628
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.88323
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.374627
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.222486
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27738
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49422
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81837
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80769
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.75653
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.05742
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.03793
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.16731
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.47145
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.97634
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.61408
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.78755
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.38063
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.220586
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27501
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34957
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76622
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73311
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.70727
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.99317
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.97669
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.1018
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.38643
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.88835
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.52196
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.67663
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.384751
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.216202
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26952
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27995
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71333
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66671
ú(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.65795
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.93941
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.9155
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.03148
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.31088
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.8006
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.42995
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.56598
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.387051
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.209335
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26095
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27966
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65975
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60453
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.60862
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.88566
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.86604
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.96128
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.23546
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.70664
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.33813
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.44168
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.387409
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.203029
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2493
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27695
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60548
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54165
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55928
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.83193
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.8048
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.89843
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.15696
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.61855
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.24646
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.19275
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.388517
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.20121
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23455
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27185
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5506
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47587
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50244
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.77823
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.74364
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.8426
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.07715
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.53072
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.12897
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.94742
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.392001
„(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.197079
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21681
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26433
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.49509
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39597
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43383
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.70761
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.68255
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.77735
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.01268
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.44247
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.99574
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.70686
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.394366
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.190697
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19607
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25446
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40838
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31588
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34054
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.63257
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.61907
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.70735
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.9483
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.36066
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.86353
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.49337
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.395582
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.18204
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17235
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24222
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31594
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23565
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24718
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.55783
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.54241
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.63641
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.87819
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.28566
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.73227
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.4124
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.395643
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.171166
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15727
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19713
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22277
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16406
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15376
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.48342
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.45733
(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.56115
ˆ(392.89, 14.62, 307.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.79756
