¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
… (378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 10.15911
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.835864
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.821032
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.807587
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.795518
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.784812
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.775459
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.698111
(378.49, 14.78, 274.48) (379.48, 7.54, 250.80) (1.36, 1.29, 1.33) Tools 9.107553
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.46948
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.469431
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.47123
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.474877
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.480375
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.48773
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.714811
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.924715
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.151846
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.398402
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.666005
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.951463
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.952115
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.925719
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.900866
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.877524
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.855672
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.835288
† (378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.816348
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.798836
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.782732
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.76802
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.754686
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.742717
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.7321
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.798047
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.742136
(378.49, 14.78, 274.48) (377.95, 7.54, 250.51) (1.36, 1.29, 1.33) Tools 9.523985
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.495863
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.483681
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.473372
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.464932
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.458347
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.453614
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.720654
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.931021
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.158669
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.405827
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.674977
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.961584
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.899786
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.873595
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.848934
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.825773
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.804091
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.783866
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.765076
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.7477
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.731722
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.717127
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.703899
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.692025
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.681493
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.832675
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.787129
(378.49, 14.78, 274.48) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 9.284998
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.582954
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.570588
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.560117
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.551529
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.544814
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.539968
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.726554
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.937402
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.165584
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.413352
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.683201
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.971889
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.849565
 (378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.823571
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.799095
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.77611
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.754591
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.734517
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.715869
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.698626
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.682769
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.668285
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.655159
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.643376
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.632926
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.868009
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.833108
(378.49, 14.78, 274.48) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 9.115845
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.673563
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.661008
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.650366
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.641623
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.634773
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.629808
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.732548
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.943883
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.172623
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.420987
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.691513
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.982378
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.80139
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.775584
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.751285
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.728467
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.707105
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.687178
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.668666
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.651549
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.635809
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.621432
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.608403
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.596708
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.586336
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.904059
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 7.880087
(378.49, 14.78, 274.48) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 9.179591
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.76783
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.755075
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.744252
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.735348
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.728355
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.723267
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.738658
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.95047
Š (378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.17975
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.42873
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.699967
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.782347
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.755199
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.729574
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.705445
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.682786
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.661574
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.641788
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.623405
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.606409
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.590782
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.576507
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.563571
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.55196
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.541663
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.940835
(378.49, 14.78, 274.48) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 8.745835
(378.49, 14.78, 274.48) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 9.244844
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.865898
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.852936
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.841922
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.83285
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.825705
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.820487
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.744838
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.957124
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.186984
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.436604
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.70856
(378.49, 14.78, 274.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.003871
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.855241
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.817226
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.780944
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.746356
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.713421
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.682105
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.652367
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.624177
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.597509
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.57233
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.548613
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.526336
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.505474
(378.49, 14.78, 274.48) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.978348
(378.49, 14.78, 274.48) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 8.581902
(378.49, 14.78, 274.48) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 9.311646
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.967922
(378.49, 14.78, 274.48) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.95474
