¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
²(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 13.75712
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.749024
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.945849
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.157841
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.386828
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.634825
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.904244
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.197977
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.519289
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.872257
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.261697
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.679594
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.122105
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.614164
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16439
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78367
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45885
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.18878
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02076
»(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91259
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.16022
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.14178
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.12613
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.11327
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.10318
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.09585
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.09128
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.08945
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.09037
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.741777
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.937999
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.149396
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.377695
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.624927
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.893485
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.186194
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.506403
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.858099
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.245876
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.665073
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.107016
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.597349
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14556
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76242
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3801
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10713
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9361
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01147
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.34503
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.3263
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.31041
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.29734
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.28707
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.2796
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.27492
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.27303
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.27392
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.734591
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.930309
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.141113
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.36875
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.615206
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.882937
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.174706
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.493831
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.844264
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.228214
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.645483
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.092443
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.581125
½(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12741
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74195
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31606
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01518
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83098
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97756
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.53759
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.51857
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.50242
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.48913
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.47868
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.47107
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.46628
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.46432
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.46517
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.727604
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.922798
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.133031
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.35999
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.605721
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.872637
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.163458
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.481526
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.830725
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.210932
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.626331
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.078398
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.565488
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10989
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71649
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26632
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92555
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72866
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.94359
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.73832
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.71899
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.70257
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.68904
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.67841
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.67064
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.66574
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.6637
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.66452
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.720773
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.91546
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.125124
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.351431
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.596465
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.862579
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.152493
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.469524
»(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.817517
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.194036
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.607634
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.064873
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.550425
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09303
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67292
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21803
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83826
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62906
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90962
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.94762
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.92796
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.91126
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.8975
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.88665
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.87873
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.87371
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.87159
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 14.87238
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.714091
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.908292
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.11739
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.343108
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.587434
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.852737
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.141778
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.457755
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.804652
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.177562
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.589394
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.046783
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.53595
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07679
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63059
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17122
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7722
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53213
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87558
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.16596
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.14596
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.12896
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.11494
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.10389
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.0958
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.09065
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.08845
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.08919
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.707578
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.901291
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.109823
®(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.334938
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.578623
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.843148
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.131333
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.446336
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.790257
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.161479
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.571606
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.02699
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.522013
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06123
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58951
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1258
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7217
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4378
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84152
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.39382
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.37347
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.35616
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.34187
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.3306
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.32232
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.31704
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.31476
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.31545
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.701228
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.894451
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.102479
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.326995
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.570006
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.833825
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.121129
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.435179
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.776011
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.145777
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.55426
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.007703
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.508687
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04632
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54971
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08179
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67275
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34596
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80749
(341.45, 6.99, 371.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94202
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.611
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.59336
(341.45, 6.99, 371.50) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 15.5788
