¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¢(336.39, 7.37, 332.59) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 20.68661
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59831
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.37858
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.62189
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 19.73247
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 19.71103
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 19.69347
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 19.67978
(336.39, 7.37, 332.59) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 21.11864
(336.39, 7.37, 332.59) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 21.10434
(336.39, 7.37, 332.59) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 21.09417
(336.39, 7.37, 332.59) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 21.08811
(336.39, 7.37, 332.59) (317.06, 1.79, 303.65) (1.40, 1.43, 1.36) Tools 21.08617
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.004233
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.237032
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.489931
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.765568
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.067131
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.333848
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.573666
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.828673
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.103056
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.399063
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.719282
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.066714
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.485566
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55034
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36065
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16807
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.6186
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.40381
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 19.56425
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 19.53916
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 19.51793
Ÿ(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 19.50055
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 19.487
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 21.2004
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 21.1953
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 21.19434
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 21.1975
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 21.2048
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.007123
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.240156
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.493319
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.769293
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.071184
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.317504
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.562763
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.816957
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.090496
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.385518
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.704647
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.05086
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.565352
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6494
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33231
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18495
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63917
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.42936
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.68677
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 19.66034
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 19.63131
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 19.60617
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 19.58491
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.89441
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.88937
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.8884
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.8915
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.89869
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.010049
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.24332
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.496789
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.773042
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.072733
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.301697
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.547454
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.805861
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.078541
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.372653
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.690749
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.035765
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.645894
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74959
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30468
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20205
£(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.66
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45532
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.71988
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 20.07919
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 20.04936
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 20.02352
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 20.00164
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.60109
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.5961
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.59513
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.59818
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.60524
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.012973
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.24652
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.500242
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.776818
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.058399
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.286343
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.53102
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.794282
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.067192
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.360429
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.677523
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.021467
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.727178
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85086
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41304
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21935
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.68108
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48157
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.75347
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 20.52036
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 20.48969
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 20.4631
(336.39, 7.37, 332.59) (317.06, 0.43, 305.00) (1.40, 1.43, 1.36) Tools 20.44055
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.63699
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.6244
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.61584
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.61131
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.61079
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.01595
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.249733
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.503755
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.780663
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.04455
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.271541
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.51512
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.777185
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.056488
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.348886
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.665068
©(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.007961
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.809135
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94388
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52176
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23689
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.70243
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50818
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.7875
(336.39, 7.37, 332.59) (315.74, 0.43, 305.00) (1.44, 1.43, 1.40) Tools 20.98458
(336.39, 7.37, 332.59) (315.74, 0.43, 305.00) (1.44, 1.43, 1.40) Tools 20.95241
(336.39, 7.37, 332.59) (315.74, 0.43, 305.00) (1.44, 1.43, 1.40) Tools 20.9244
(336.39, 7.37, 332.59) (315.74, 0.43, 305.00) (1.44, 1.43, 1.40) Tools 20.90055
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.94028
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.9274
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.91862
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.91392
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 20.9133
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.018944
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.253014
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.507287
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.784546
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.031161
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.257201
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.499756
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.760669
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.042019
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.338038
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.653337
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.995238
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.891787
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87352
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63063
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25462
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.7241
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.53514
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.82199
(336.39, 7.37, 332.59) (315.74, 0.43, 305.00) (1.44, 1.43, 1.40) Tools 21.52328
(336.39, 7.37, 332.59) (315.74, 0.43, 305.00) (1.44, 1.43, 1.40) Tools 21.49004
(336.39, 7.37, 332.59) (315.74, 0.43, 305.00) (1.44, 1.43, 1.40) Tools 21.46107
(336.39, 7.37, 332.59) (315.74, 0.43, 305.00) (1.44, 1.43, 1.40) Tools 21.43634
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 21.25682
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 21.24365
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 21.23463
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 21.22975
(336.39, 7.37, 332.59) (315.74, 1.82, 305.00) (1.65, 1.43, 1.61) Tools 21.22902
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.021984
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.256279
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.510881
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.788453
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.018242
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.243377
©(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.484934
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.744763
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.024868
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.327689
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.642256
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.018583
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.938982
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8039
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73969
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27262
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.74601
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.56241
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.85692
(336.39, 7.37, 332.59) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 21.64162
(336.39, 7.37, 332.59) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 21.61799
(336.39, 7.37, 332.59) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 21.59861
(336.39, 7.37, 332.59) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 21.58347
(336.39, 7.37, 332.59) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 21.54659
(336.39, 7.37, 332.59) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 21.5395
(336.39, 7.37, 332.59) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 21.53662
(336.39, 7.37, 332.59) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 21.53794
(336.39, 7.37, 332.59) (314.37, 3.15, 305.00) (1.46, 1.43, 1.41) Tools 21.90972
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.025043
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.2596
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.514502
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.792401
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.005757
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.230061
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.470643
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.729393
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.008281
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.309806
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.631951
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.086998
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.880833
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73511
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8488
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29077
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76815
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.59003
(336.39, 7.37, 332.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.89228
(336.39, 7.37, 332.59) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 21.48083
(336.39, 7.37, 332.59) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 21.45737
(336.39, 7.37, 332.59) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 21.43814
(336.39, 7.37, 332.59) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 21.42311
(336.39, 7.37, 332.59) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 21.41484
(336.39, 7.37, 332.59) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 21.40781
(336.39, 7.37, 332.59) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 21.40495
