¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¤(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.34836
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.383019
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.550449
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.727157
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.913956
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17011
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66201
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73171
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.18183
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.1643
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.14994
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.13876
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.13073
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.12586
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.12413
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.852874
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.926512
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.003407
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.083721
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.167703
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.255557
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.347499
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.673246
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.296151
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.69418
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.878957
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.030945
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.178746
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.334316
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.49828
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.671286
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.854011
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.888228
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35085
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95507
³(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.99238
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.972
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.95477
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.94069
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.92974
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.9219
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.91717
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.91554
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.891843
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.966887
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.045251
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.127143
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.212769
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.302358
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.396119
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.914093
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.59525
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.847911
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.990623
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.135588
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.288139
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.448832
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.618294
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.797194
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.986303
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06002
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53951
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39425
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.79063
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.77058
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.75365
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.73983
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.72909
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.72142
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.71683
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.7153
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.931989
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.008479
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.088356
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.171868
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.259222
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.350609
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.574268
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.175203
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.817029
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.952402
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.094692
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244351
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401947
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.56806
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.74334
º(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.928479
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.787556
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23912
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7366
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.87693
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.59692
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.57719
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.56054
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.54696
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.53642
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.52893
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.52447
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.52304
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.973299
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.051295
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.132769
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.217964
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.307073
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.400384
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.803789
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.459219
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.916131
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055871
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.202819
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.357466
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.520381
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.692213
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.873676
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.065488
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.957928
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42607
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.07861
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.43335
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.41087
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.39145
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.37507
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.36172
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.35138
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.34404
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.33971
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.33836
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.01582
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.095387
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.178546
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.26549
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.356476
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.473039
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.051929
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.704863
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.019075
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.163394
º(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.315232
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.475121
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.643704
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.821642
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.009618
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.566162
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13553
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62123
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52942
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.2543
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.23215
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.21302
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.1969
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.18377
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.17362
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.16644
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.16221
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.16095
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.059603
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.140809
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.225669
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.314475
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.407391
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.691247
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.320945
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.74513
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.112699
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.275156
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.432166
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.597644
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.772198
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.956533
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.264584
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.733232
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32074
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82514
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09824
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.08227
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.06043
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.04158
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.02571
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.01279
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.00282
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.99578
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.99167
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.99048
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.1047
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.18759
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.274261
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.364951
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.459886
Ã(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.926376
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.573272
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.786373
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.19039
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.391359
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.553865
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.725219
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.906138
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.097336
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.375216
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.906887
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51404
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20862
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.94147
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.91696
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.89542
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.87684
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.8612
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.84848
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.83868
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.83178
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.82777
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.82666
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.151124
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.23578
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.324335
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.416981
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.576409
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.180506
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.612764
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.828616
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.269453
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.512244
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.680572
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.858205
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.045829
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.111158
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.489504
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08755
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71594
(341.68, 7.28, 379.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73272
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.78228
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.75808
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.73684
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.71851
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.70309
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.69057
(341.68, 7.28, 379.28) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.68093
