¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ë(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.060663
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 8.514477
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45107
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06144
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6378
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02947
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44893
Ñ(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.745551
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.734005
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.723808
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.714949
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.707419
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.117786
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.11332
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.11005
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.669418
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.25444
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.87322
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.126102
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.410103
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.718355
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.051079
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.415553
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.816346
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.254627
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.71788
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25546
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8595
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44404
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06858
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65203
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04462
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4651
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.742368
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.730831
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.720641
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.711787
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.704263
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.69806
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.693173
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.107182
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 5.666758
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.252109
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.868291
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.120767
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.403541
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.713645
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.046045
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.410048
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.810292
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.243147
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.705227
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2396
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84679
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43784
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07645
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6679
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06155
Î(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48317
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.7534
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.740508
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.728975
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.718788
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.70994
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.702418
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.696218
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.9188
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.962175
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.249851
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.863488
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.115579
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.39714
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.706671
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.04119
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.404659
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.804409
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.232031
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.692917
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22404
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82951
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44429
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08509
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68544
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08022
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50306
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.752858
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.739967
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.728436
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.718251
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.709403
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.701882
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.695683
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.247665
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.858829
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.110561
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.390842
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.699821
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.036488
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.39954
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.798723
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.221232
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.68095
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20881
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81238
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45271
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09445
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70461
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10067
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52823
Û(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.767902
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.753637
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.740746
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.729212
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.719025
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.710176
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.702655
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.696455
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.245553
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.854339
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.105711
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.384699
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.693122
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.03006
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.394566
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.793283
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.210744
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.669385
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19394
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79562
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46174
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10456
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72547
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12289
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.785666
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.770012
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.755743
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.742845
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.731307
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.721115
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.712262
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.704736
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.956263
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.243512
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.849985
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.101019
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.378676
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.686574
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.022899
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.389799
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.786045
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.200619
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.658195
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17939
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77926
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44117
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11545
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74805
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14693
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.789117
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.77345
Ù(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.759171
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.746265
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.734718
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.724519
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.715661
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.708128
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.241545
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.845785
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.096483
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.372787
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.680141
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.015846
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.383954
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.777153
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.190786
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.647313
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16515
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76328
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42009
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12706
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7723
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.810984
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.7939
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.778221
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.763929
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.75101
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.739453
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.729244
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.720375
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.712835
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.239651
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.841743
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.092115
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.367028
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.673882
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.008986
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.376431
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.768514
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.18129
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.636834
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15128
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74769
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39952
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13449
(377.56, 16.02, 283.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79821
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.81713
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.800027
(377.56, 16.02, 283.83) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.78433
