¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.637028
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.577368
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.723267
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.879757
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.047988
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.229289
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.427458
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.636385
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.861806
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.535508
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.816773
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.124738
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.467303
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.853635
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.283834
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.765741
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.309092
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.943096
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68304
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54225
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9355
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.20151
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.313798
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.441438
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.577779
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.723706
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.880228
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.048494
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.229835
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.429123
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.636866
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.862329
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.537377
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.818801
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.126961
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.471508
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.85833
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.289064
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.77157
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.315685
ò(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.954092
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69577
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55929
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.55031
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.65319
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.88966
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.314348
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.442022
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.578404
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.724376
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.880944
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.049264
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.230664
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.429892
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.637698
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.863232
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.108803
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.821287
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.129703
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.476306
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.863644
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.294996
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.778225
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.323184
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.966087
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70965
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57691
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.02515
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.16392
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.33498
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.315084
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.442808
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.579242
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.725271
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.881905
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.050296
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.233845
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.43098
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.638875
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.864509
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.110194
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.82432
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.133017
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.48169
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.869581
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.301611
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.785666
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.332188
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.979112
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72473
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61177
é(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.55919
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.58384
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.84875
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.31601
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.443794
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.580295
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.726398
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.883112
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.051594
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.237919
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.432392
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.640403
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.866167
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.111999
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.380635
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.136936
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.487611
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.876194
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.308987
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.793941
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.344439
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.993162
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74097
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64802
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44709
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.98089
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.35902
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.317125
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.444982
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.581563
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.727753
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.884565
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.053155
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.241771
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.434126
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.64228
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.868203
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.114216
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.383057
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.142855
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.49416
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.883436
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.317078
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.803024
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.357618
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00826
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75843
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68568
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33809
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.60754
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.85965
×(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.318428
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.44637
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.583045
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.729339
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.886265
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.056573
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.243679
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.436184
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.644505
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.870618
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.116848
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.387745
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.683361
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.50129
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.89135
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.325887
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.812912
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.37166
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0244
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77704
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72477
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16841
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.24914
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.32322
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.31992
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.447958
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.584741
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.731153
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.888211
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.061068
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.245885
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.438563
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.64708
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.873413
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.119889
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.392081
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.688122
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.50898
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.899875
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.335435
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.82362
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.386649
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04155
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79695
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76531
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.99441
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.90484
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.87439
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.321599
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.449748
(434.31, 14.97, 326.91) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.586651
