¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ÿ (393.69, 14.81, 307.64) (412.32, 8.71, 315.76) (0.81, 2.16, 0.81) Human 5.613182
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.851509
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.836851
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.823046
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.810077
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.797934
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.786608
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.776087
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.766355
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.757401
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.749217
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.74181
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.735144
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.729255
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.731518
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.748795
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.786988
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.888672
(393.69, 14.81, 307.64) (412.32, 8.71, 315.76) (0.81, 2.16, 0.81) Human 5.382603
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.882833
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.86321
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.844525
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.826768
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.80991
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.793939
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.778835
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.764578
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.751163
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.738564
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.72678
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.715791
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.705583
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.696156
œ (393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.687485
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.679583
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.672419
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.665997
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.660488
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.662031
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.674094
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.698496
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.740502
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.820581
(393.69, 14.81, 307.64) (412.32, 8.71, 315.76) (0.81, 2.16, 0.81) Human 5.358837
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.833986
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.814675
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.796293
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.778822
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.762241
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.746533
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.73168
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.717664
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.704479
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.6921
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.680516
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.669724
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.659703
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.650445
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.641944
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.634192
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.627177
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.620893
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.615631
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.61688
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.626879
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.646685
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.678907
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.730169
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.828584
(393.69, 14.81, 307.64) (412.32, 8.71, 315.76) (0.81, 2.16, 0.81) Human 5.400864
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.800225
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.781134
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.762955
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.74568
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.729286
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.713759
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.699077
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.685227
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.672193
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.659962
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.64852
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.63786
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.627963
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.618825
› (393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.610435
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.602786
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.595866
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.589677
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.5846
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.585678
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.594591
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.612071
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.639912
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.682034
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.749224
(393.69, 14.81, 307.64) (412.32, 8.71, 315.76) (0.81, 2.16, 0.81) Human 5.348492
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.777227
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.758281
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.740247
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.723107
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.706847
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.691441
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.676877
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.663139
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.650214
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.638088
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.626743
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.616175
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.606367
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.597312
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.589004
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.581423
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.574576
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.568449
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.5635
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.564484
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.572756
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.588937
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.61443
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.652133
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.708975
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.812623
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.76291
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.74406
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.726121
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.709077
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.692897
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.677575
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.663095
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.649436
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.63658
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.624523
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.613248
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.602742
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.592997
  (393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.583997
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.575739
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.568215
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.561415
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.555335
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.550467
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.551393
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.559311
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.574777
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.598999
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.634441
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.686587
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.772985
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.756221
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.737431
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.719549
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.702555
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.68643
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.671161
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.656725
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.643111
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.630303
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.618287
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.607053
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.596589
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.586877
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.577919
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.569696
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.562205
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.555437
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.549385
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.544562
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.545463
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.553238
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.568383
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.592067
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.626584
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.676888
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.757777
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.756732
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.737959
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.720102
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.703126
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.687023
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.671772
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.657356
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.64376
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.630972
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.618975
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.60776
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.597313
œ (393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.587624
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.578677
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.570479
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.563003
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.556253
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.550222
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.545406
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.546312
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.554102
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.569294
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.593057
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.6277
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.678257
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.759884
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.764465
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.745683
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.727805
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.710819
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.694706
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.679447
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.665025
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.651424
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.638629
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.626627
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.615409
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.60496
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.595273
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.58633
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.57813
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.57066
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.563918
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.55789
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.553053
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.553988
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.561975
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.577571
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.602039
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.637904
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.690909
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.780056
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.779932
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.761096
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.743171
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.726141
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.709986
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.694685
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.680227
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.666594
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.653768
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.641743
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.630499
 (393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.620031
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.610324
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.601367
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.593158
(393.69, 14.81, 307.64) (411.68, 8.69, 314.26) (0.81, 2.16, 0.81) Human 3.585677
