¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ò(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 12.06423
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.80209
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.80565
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.229486
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.473151
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.738046
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.03016
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327274
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.603173
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.910869
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.263631
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.651074
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.078512
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.552361
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08047
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73671
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73569
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.84176
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.81748
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.79559
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.77608
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.75892
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.74409
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.73159
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.7214
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.71351
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.7079
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.70459
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.70355
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.7048
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.70833
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.232566
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.476524
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.74169
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.031678
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.317253
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.604895
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.928876
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.283355
Ó(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.672796
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.10253
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.578991
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11021
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70601
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6473
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.74722
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.72313
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.70142
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.68206
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.66504
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.65033
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.63793
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.62781
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.61998
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.61442
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.61113
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.61011
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.61134
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.61485
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.235666
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.479863
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.745336
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.034909
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.323175
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.621713
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.947227
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.303434
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.694901
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.12693
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.606151
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14052
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7401
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56046
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.65644
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.63253
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.61099
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.59178
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.57488
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.56029
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.54798
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.53794
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.53017
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.52466
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.52139
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.52037
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.5216
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.52507
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.238812
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.48327
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.749024
Ö(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.038935
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.338909
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.638809
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.965866
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.323888
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.717386
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.151811
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.633787
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17147
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77487
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5119
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.56928
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.54555
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.52417
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.5051
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.48833
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.47385
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.46163
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.45167
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.44395
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.43848
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.43524
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.43422
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.43544
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.43889
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.241955
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.486698
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.752746
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.042727
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.342655
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.656204
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.984856
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.344697
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.740319
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.177144
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.661946
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20295
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81032
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.51154
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.48563
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.46208
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.44085
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.42192
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.40527
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.39089
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.37876
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.36887
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.36121
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.35578
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.35256
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.35155
Ñ(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.35276
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.35618
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.245123
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.490147
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.756488
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.044194
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.344252
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.672575
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.004181
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.365888
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.763631
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.202958
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.690655
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23503
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78033
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.43112
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.40541
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.38202
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.36093
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.34213
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.3256
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.31132
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.29927
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.28945
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.28184
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.27645
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.27325
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.27225
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.27345
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.27684
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.248344
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.493605
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.760293
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.045747
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.345954
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.674446
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.02384
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.38743
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.78735
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.229199
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.719849
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23229
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74242
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.35402
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.32848
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.30524
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.2843
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.26563
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.24921
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.23502
(434.35, 14.06, 304.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.22306
