¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
­(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.020258
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.60246
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.174152
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.248235
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.325546
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.40621
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.490457
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.57845
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.755463
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.204299
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.730435
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.949543
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.112649
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.265164
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.403771
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.549301
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.702179
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.862971
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.032188
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.210485
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39519
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85728
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71918
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.70128
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.69369
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.68936
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.68829
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.69047
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.6959
(341.87, 7.22, 378.57) (308.66, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 16.7046
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.209437
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.284754
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.36328
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.445282
³(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.530929
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.620406
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.935485
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.414813
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.910271
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.079763
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.220616
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.356328
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.498727
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.648281
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.805509
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.970885
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.145052
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11926
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55477
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05732
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.01226
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.99038
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.97185
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.95667
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.94482
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.93628
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.93105
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.92912
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.245764
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.32231
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.402193
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.485571
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.572678
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.688391
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.126652
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.639545
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.048634
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.178392
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.311378
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.450841
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.597243
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.75106
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.912787
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.083054
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.86025
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27151
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72077
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41707
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.75729
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.73583
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.71769
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.70284
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.69126
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.68295
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.6779
¥(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.67611
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.283197
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.361033
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.442266
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.52708
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.615745
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.862489
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.329956
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.879879
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.138448
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.268785
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.405456
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.548859
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.699441
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.857738
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.024249
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.199624
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00577
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42978
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89355
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8021
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.51302
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.49197
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.47419
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.45965
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.44834
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.44025
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.43537
(341.87, 7.22, 378.57) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 16.43369
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.321756
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.400899
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.483563
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.569913
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.660117
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.047041
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.546515
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.982187
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.228479
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.36248
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.503009
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.65055
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.805552
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.96855
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.140127
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.732121
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15689
(341.87, 7.22, 378.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59432
